0.775 ± 0.083,76.216 ± 4.324
0.775 ± 0.069,75.676 ± 4.358
0.781 ± 0.089,77.027 ± 5.020
0.773 ± 0.075,74.865 ± 4.842
0.780 ± 0.083,75.135 ± 4.650
0.771 ± 0.074,75.405 ± 4.595
0.771 ± 0.082,75.405 ± 5.192
0.764 ± 0.080,75.405 ± 4.595
0.783 ± 0.078,76.216 ± 4.954
0.773 ± 0.074,75.405 ± 4.433
0.771 ± 0.078,74.865 ± 4.531
0.773 ± 0.078,75.676 ± 4.358
0.773 ± 0.065,74.324 ± 5.303
0.781 ± 0.076,75.946 ± 3.716
0.778 ± 0.071,75.135 ± 4.324
0.776 ± 0.071,75.676 ± 5.128
0.776 ± 0.073,75.946 ± 4.902
0.776 ± 0.082,75.405 ± 5.192
0.776 ± 0.066,74.865 ± 3.832
0.781 ± 0.067,75.405 ± 3.299
0.780 ± 0.067,75.946 ± 4.751
0.781 ± 0.065,75.135 ± 5.241
0.775 ± 0.068,75.405 ± 5.049
0.780 ± 0.077,74.595 ± 5.296
0.792 ± 0.083,78.378 ± 4.835
0.788 ± 0.080,77.297 ± 5.695
0.790 ± 0.087,77.027 ± 5.020
0.785 ± 0.074,77.027 ± 5.020
0.781 ± 0.084,76.757 ± 4.712
0.783 ± 0.084,76.757 ± 4.555
0.798 ± 0.060,77.297 ± 5.695
0.790 ± 0.067,77.838 ± 5.897
0.800 ± 0.073,77.838 ± 4.650
0.788 ± 0.075,76.757 ± 4.555
0.785 ± 0.085,77.027 ± 4.720
0.786 ± 0.084,77.568 ± 4.531
0.793 ± 0.073,77.568 ± 5.135
0.786 ± 0.071,77.838 ± 4.954
0.788 ± 0.080,77.027 ± 4.872
0.788 ± 0.074,77.568 ± 4.991
0.790 ± 0.074,77.838 ± 4.954
0.783 ± 0.082,76.757 ± 5.432
0.788 ± 0.075,76.486 ± 4.531
0.797 ± 0.065,77.297 ± 4.865
0.798 ± 0.055,77.027 ± 4.563
0.795 ± 0.069,77.297 ± 5.013
0.795 ± 0.065,77.297 ± 4.712
0.778 ± 0.074,77.568 ± 4.842
0.773 ± 0.085,76.757 ± 4.555
0.771 ± 0.085,75.135 ± 5.897
0.776 ± 0.091,75.946 ± 5.466
0.768 ± 0.074,75.135 ± 5.241
0.776 ± 0.084,75.676 ± 4.984
0.771 ± 0.072,74.865 ± 5.275
0.778 ± 0.085,75.676 ± 4.358
0.775 ± 0.082,75.946 ± 4.265
0.781 ± 0.091,75.946 ± 5.466
0.775 ± 0.081,76.216 ± 4.490
0.775 ± 0.072,75.135 ± 5.099
0.771 ± 0.083,75.135 ± 5.241
0.785 ± 0.073,76.486 ± 3.832
0.781 ± 0.089,75.946 ± 3.907
0.780 ± 0.087,75.946 ± 5.727
0.775 ± 0.076,75.405 ± 5.192
