0.703 ± 0.022,70.921 ± 2.237
0.699 ± 0.031,70.965 ± 2.654
0.742 ± 0.031,75.461 ± 2.818
0.721 ± 0.036,72.982 ± 3.087
0.705 ± 0.027,71.053 ± 2.410
0.731 ± 0.020,73.509 ± 1.842
0.716 ± 0.021,72.763 ± 2.253
0.708 ± 0.017,71.272 ± 2.358
0.750 ± 0.025,76.316 ± 2.135
0.733 ± 0.028,74.715 ± 2.582
0.718 ± 0.028,72.303 ± 3.026
0.752 ± 0.015,75.943 ± 1.612
0.745 ± 0.018,75.877 ± 1.899
0.739 ± 0.017,74.912 ± 1.801
0.755 ± 0.019,77.127 ± 1.760
0.746 ± 0.021,75.592 ± 1.600
0.736 ± 0.019,74.232 ± 1.796
0.674 ± 0.026,68.180 ± 1.549
0.658 ± 0.025,67.522 ± 2.163
0.655 ± 0.028,67.018 ± 2.901
0.717 ± 0.026,72.785 ± 2.141
0.694 ± 0.028,70.175 ± 1.899
0.668 ± 0.026,67.654 ± 2.358
0.704 ± 0.020,71.294 ± 1.862
0.695 ± 0.021,70.614 ± 2.904
0.695 ± 0.015,69.846 ± 2.065
0.714 ± 0.025,72.215 ± 1.932
0.695 ± 0.023,70.702 ± 1.925
0.674 ± 0.015,68.618 ± 1.580
0.714 ± 0.015,72.127 ± 1.992
0.710 ± 0.019,72.039 ± 1.190
0.707 ± 0.014,71.535 ± 1.971
0.726 ± 0.020,73.596 ± 2.029
0.713 ± 0.023,72.039 ± 2.338
0.701 ± 0.016,70.658 ± 2.314
0.728 ± 0.013,73.969 ± 2.071
0.724 ± 0.012,73.180 ± 1.135
0.720 ± 0.016,72.785 ± 1.328
0.729 ± 0.018,73.662 ± 1.492
0.720 ± 0.011,72.566 ± 1.530
0.711 ± 0.010,72.303 ± 1.830
0.657 ± 0.030,66.009 ± 3.020
0.656 ± 0.020,66.776 ± 2.044
0.647 ± 0.023,65.702 ± 3.162
0.650 ± 0.059,66.404 ± 4.396
0.652 ± 0.031,66.031 ± 3.256
0.637 ± 0.031,64.781 ± 2.965
0.680 ± 0.015,68.904 ± 2.585
0.682 ± 0.020,68.991 ± 2.483
0.680 ± 0.016,69.232 ± 2.396
0.679 ± 0.022,68.750 ± 2.873
0.673 ± 0.030,68.618 ± 2.545
0.657 ± 0.016,66.425 ± 1.753
0.689 ± 0.018,69.715 ± 2.614
0.690 ± 0.018,69.035 ± 3.181
0.684 ± 0.020,69.561 ± 2.707
0.703 ± 0.032,71.338 ± 2.329
0.689 ± 0.022,69.978 ± 2.079
0.681 ± 0.026,69.232 ± 2.684
0.684 ± 0.020,69.145 ± 2.621
0.679 ± 0.020,68.377 ± 1.983
0.681 ± 0.023,68.553 ± 3.287
0.699 ± 0.022,70.943 ± 2.156
0.693 ± 0.023,69.627 ± 1.436
0.681 ± 0.023,69.737 ± 2.386
0.671 ± 0.031,67.215 ± 2.851
0.661 ± 0.023,66.382 ± 2.094
0.653 ± 0.024,65.702 ± 2.167
0.699 ± 0.035,71.272 ± 3.056
0.678 ± 0.038,68.969 ± 2.920
0.658 ± 0.025,66.886 ± 2.153
0.696 ± 0.019,69.890 ± 2.846
0.684 ± 0.016,69.605 ± 2.529
0.684 ± 0.010,69.496 ± 2.387
0.709 ± 0.028,72.083 ± 2.304
0.683 ± 0.027,69.430 ± 1.967
0.663 ± 0.019,67.566 ± 2.293
0.699 ± 0.016,71.316 ± 1.871
0.703 ± 0.016,71.491 ± 1.830
0.705 ± 0.016,71.623 ± 2.403
0.721 ± 0.025,72.127 ± 2.486
0.706 ± 0.024,71.623 ± 2.300
0.694 ± 0.019,69.825 ± 2.407
0.729 ± 0.015,72.982 ± 1.593
0.721 ± 0.010,73.158 ± 1.612
0.707 ± 0.014,71.557 ± 2.221
0.725 ± 0.020,73.311 ± 1.819
0.723 ± 0.020,72.917 ± 1.567
0.709 ± 0.015,71.930 ± 1.497
0.736 ± 0.026,75.439 ± 2.283
0.729 ± 0.031,74.320 ± 3.039
0.732 ± 0.032,73.904 ± 3.265
0.754 ± 0.016,77.456 ± 1.496
0.750 ± 0.022,76.996 ± 1.583
0.742 ± 0.022,76.031 ± 1.425
0.753 ± 0.022,76.974 ± 1.507
0.746 ± 0.023,76.140 ± 1.204
0.737 ± 0.026,74.956 ± 2.272
0.755 ± 0.018,77.610 ± 0.805
0.748 ± 0.021,76.754 ± 1.541
0.736 ± 0.024,75.197 ± 2.429
0.763 ± 0.015,77.675 ± 0.994
0.758 ± 0.018,76.447 ± 1.302
0.747 ± 0.022,76.162 ± 1.334
0.760 ± 0.017,77.675 ± 1.042
0.759 ± 0.018,77.390 ± 1.040
0.751 ± 0.022,76.469 ± 1.624
0.773 ± 0.014,78.399 ± 1.576
0.771 ± 0.015,77.895 ± 1.100
0.761 ± 0.014,77.237 ± 1.160
0.773 ± 0.014,78.465 ± 1.051
0.769 ± 0.014,77.895 ± 1.289
0.763 ± 0.017,77.412 ± 1.519
0.762 ± 0.019,77.982 ± 0.937
0.764 ± 0.017,77.741 ± 1.136
0.746 ± 0.027,76.250 ± 1.445
0.761 ± 0.015,77.829 ± 1.103
0.757 ± 0.020,77.719 ± 1.612
0.755 ± 0.015,77.215 ± 1.343
0.763 ± 0.015,77.939 ± 0.911
0.756 ± 0.028,76.886 ± 2.245
0.735 ± 0.027,75.504 ± 2.718
0.762 ± 0.016,78.355 ± 0.899
0.762 ± 0.016,78.048 ± 1.382
0.756 ± 0.012,77.105 ± 1.174
0.762 ± 0.014,78.136 ± 0.827
0.759 ± 0.017,77.588 ± 0.919
0.748 ± 0.019,76.338 ± 1.450
0.762 ± 0.017,78.136 ± 0.471
0.760 ± 0.017,78.026 ± 1.172
0.755 ± 0.016,77.061 ± 1.202
0.763 ± 0.018,78.136 ± 0.546
0.761 ± 0.018,78.158 ± 0.982
0.758 ± 0.018,77.171 ± 0.717
0.761 ± 0.018,78.048 ± 0.631
0.761 ± 0.016,78.026 ± 1.188
0.755 ± 0.016,77.412 ± 1.024
0.737 ± 0.029,75.307 ± 2.354
0.728 ± 0.032,74.254 ± 2.778
0.720 ± 0.029,73.399 ± 2.866
0.753 ± 0.018,77.303 ± 1.555
0.755 ± 0.020,77.039 ± 1.713
0.736 ± 0.028,75.592 ± 1.988
0.751 ± 0.021,76.776 ± 1.336
0.741 ± 0.023,75.855 ± 1.967
0.724 ± 0.028,73.925 ± 2.627
0.753 ± 0.019,77.193 ± 1.221
0.748 ± 0.025,76.491 ± 1.740
