0.896 ± 0.004,89.356 ± 0.379
0.897 ± 0.003,89.544 ± 0.405
0.896 ± 0.004,89.361 ± 0.360
0.896 ± 0.005,89.389 ± 0.353
0.897 ± 0.004,89.432 ± 0.453
0.896 ± 0.004,89.414 ± 0.480
0.896 ± 0.004,89.485 ± 0.364
0.897 ± 0.004,89.561 ± 0.432
0.897 ± 0.004,89.528 ± 0.441
0.897 ± 0.004,89.551 ± 0.490
0.897 ± 0.004,89.485 ± 0.466
0.897 ± 0.004,89.541 ± 0.495
0.897 ± 0.004,89.485 ± 0.484
0.897 ± 0.004,89.518 ± 0.441
0.897 ± 0.004,89.528 ± 0.429
0.897 ± 0.004,89.539 ± 0.354
0.897 ± 0.003,89.394 ± 0.310
0.894 ± 0.004,89.080 ± 0.365
0.895 ± 0.004,89.374 ± 0.459
0.897 ± 0.005,89.409 ± 0.557
0.895 ± 0.005,89.095 ± 0.538
0.895 ± 0.004,89.232 ± 0.514
0.897 ± 0.005,89.450 ± 0.434
0.895 ± 0.004,89.315 ± 0.443
0.895 ± 0.005,89.419 ± 0.481
0.897 ± 0.004,89.478 ± 0.400
0.894 ± 0.005,89.161 ± 0.430
0.895 ± 0.005,89.407 ± 0.439
0.895 ± 0.004,89.379 ± 0.421
0.896 ± 0.005,89.376 ± 0.395
0.896 ± 0.004,89.495 ± 0.410
0.897 ± 0.004,89.516 ± 0.478
0.895 ± 0.005,89.270 ± 0.346
0.896 ± 0.004,89.366 ± 0.360
0.897 ± 0.004,89.473 ± 0.396
0.896 ± 0.004,89.303 ± 0.488
0.896 ± 0.004,89.473 ± 0.499
0.897 ± 0.004,89.424 ± 0.470
0.896 ± 0.004,89.427 ± 0.503
0.897 ± 0.004,89.539 ± 0.488
0.897 ± 0.004,89.556 ± 0.422
0.894 ± 0.004,89.090 ± 0.459
0.894 ± 0.004,89.178 ± 0.445
0.896 ± 0.005,89.389 ± 0.590
0.894 ± 0.005,89.178 ± 0.469
0.896 ± 0.005,89.270 ± 0.470
0.897 ± 0.005,89.285 ± 0.479
0.893 ± 0.004,89.004 ± 0.406
0.893 ± 0.005,89.064 ± 0.487
0.896 ± 0.004,89.310 ± 0.478
0.894 ± 0.005,89.133 ± 0.448
0.895 ± 0.005,89.229 ± 0.421
0.896 ± 0.004,89.369 ± 0.532
0.893 ± 0.005,89.115 ± 0.422
0.894 ± 0.005,89.260 ± 0.319
0.894 ± 0.004,89.163 ± 0.461
0.894 ± 0.005,89.156 ± 0.439
0.895 ± 0.004,89.293 ± 0.412
0.896 ± 0.005,89.427 ± 0.502
0.894 ± 0.004,89.029 ± 0.390
0.893 ± 0.003,89.031 ± 0.466
0.894 ± 0.004,89.123 ± 0.449
0.896 ± 0.004,89.285 ± 0.366
0.896 ± 0.004,89.409 ± 0.460
0.896 ± 0.004,89.402 ± 0.495
0.896 ± 0.005,89.206 ± 0.350
0.897 ± 0.005,89.480 ± 0.496
0.897 ± 0.005,89.551 ± 0.428
0.897 ± 0.004,89.277 ± 0.515
0.896 ± 0.004,89.424 ± 0.600
0.898 ± 0.004,89.531 ± 0.437
0.896 ± 0.005,89.300 ± 0.456
0.896 ± 0.004,89.468 ± 0.422
0.897 ± 0.004,89.533 ± 0.426
0.894 ± 0.005,89.138 ± 0.490
0.896 ± 0.005,89.315 ± 0.408
0.897 ± 0.005,89.516 ± 0.463
0.896 ± 0.004,89.412 ± 0.468
0.896 ± 0.003,89.412 ± 0.392
0.898 ± 0.004,89.503 ± 0.445
0.896 ± 0.005,89.282 ± 0.351
0.897 ± 0.005,89.424 ± 0.375
0.897 ± 0.004,89.503 ± 0.428
0.896 ± 0.004,89.470 ± 0.444
0.897 ± 0.004,89.452 ± 0.444
0.897 ± 0.003,89.518 ± 0.478
0.897 ± 0.004,89.435 ± 0.366
0.897 ± 0.004,89.642 ± 0.431
0.897 ± 0.004,89.632 ± 0.509
0.892 ± 0.004,88.991 ± 0.331
0.893 ± 0.005,89.095 ± 0.370
0.894 ± 0.004,89.176 ± 0.351
0.891 ± 0.005,88.796 ± 0.440
0.892 ± 0.006,88.935 ± 0.412
0.893 ± 0.005,89.075 ± 0.443
0.893 ± 0.004,89.168 ± 0.370
0.894 ± 0.004,89.166 ± 0.385
0.894 ± 0.004,89.341 ± 0.336
0.893 ± 0.004,89.039 ± 0.375
0.894 ± 0.004,89.153 ± 0.430
0.894 ± 0.004,89.166 ± 0.453
0.893 ± 0.003,89.191 ± 0.387
0.894 ± 0.004,89.237 ± 0.387
0.894 ± 0.003,89.249 ± 0.343
0.895 ± 0.004,89.186 ± 0.419
0.895 ± 0.004,89.178 ± 0.495
0.895 ± 0.004,89.323 ± 0.446
0.892 ± 0.004,89.037 ± 0.456
0.891 ± 0.003,89.087 ± 0.433
0.892 ± 0.003,89.039 ± 0.451
0.894 ± 0.004,89.181 ± 0.525
0.894 ± 0.004,89.146 ± 0.509
0.894 ± 0.003,89.224 ± 0.413
0.894 ± 0.004,88.922 ± 0.342
0.893 ± 0.003,88.996 ± 0.327
0.894 ± 0.004,89.102 ± 0.348
0.892 ± 0.007,88.986 ± 0.445
0.892 ± 0.006,88.940 ± 0.349
0.894 ± 0.005,89.019 ± 0.379
0.893 ± 0.004,89.006 ± 0.379
0.894 ± 0.004,89.021 ± 0.380
0.894 ± 0.004,89.113 ± 0.368
0.893 ± 0.005,89.042 ± 0.295
0.894 ± 0.004,89.158 ± 0.322
0.895 ± 0.004,89.196 ± 0.427
0.894 ± 0.004,89.095 ± 0.461
0.895 ± 0.004,89.064 ± 0.474
0.895 ± 0.004,89.069 ± 0.477
0.894 ± 0.003,89.176 ± 0.435
0.894 ± 0.004,89.151 ± 0.366
0.894 ± 0.004,89.260 ± 0.460
0.895 ± 0.003,89.108 ± 0.424
0.895 ± 0.003,89.196 ± 0.508
0.894 ± 0.003,89.178 ± 0.434
0.895 ± 0.004,89.184 ± 0.383
0.895 ± 0.004,89.168 ± 0.374
0.896 ± 0.004,89.229 ± 0.423
0.893 ± 0.005,88.988 ± 0.361
0.893 ± 0.004,89.153 ± 0.408
0.894 ± 0.004,89.270 ± 0.362
0.892 ± 0.006,88.950 ± 0.468
0.893 ± 0.006,88.986 ± 0.577
0.893 ± 0.005,89.052 ± 0.408
0.894 ± 0.004,89.158 ± 0.337
0.894 ± 0.004,89.153 ± 0.390
0.894 ± 0.004,89.260 ± 0.392
0.894 ± 0.005,89.082 ± 0.425
0.894 ± 0.005,89.151 ± 0.393
0.894 ± 0.005,89.153 ± 0.415
0.894 ± 0.004,89.184 ± 0.369
0.894 ± 0.004,89.196 ± 0.372
0.894 ± 0.003,89.242 ± 0.399
0.895 ± 0.004,89.100 ± 0.427
0.895 ± 0.004,89.199 ± 0.420
0.895 ± 0.004,89.227 ± 0.461
0.893 ± 0.003,89.075 ± 0.377
0.893 ± 0.003,89.118 ± 0.440
0.893 ± 0.003,89.166 ± 0.403
0.894 ± 0.004,89.118 ± 0.453
0.894 ± 0.004,89.173 ± 0.376
0.894 ± 0.004,89.151 ± 0.384
0.894 ± 0.005,89.219 ± 0.320
0.895 ± 0.005,89.270 ± 0.500
0.896 ± 0.004,89.412 ± 0.436
0.894 ± 0.005,89.173 ± 0.555
0.894 ± 0.005,89.239 ± 0.458
0.895 ± 0.004,89.318 ± 0.378
0.896 ± 0.004,89.331 ± 0.420
0.895 ± 0.003,89.445 ± 0.392
0.897 ± 0.004,89.533 ± 0.340
0.896 ± 0.004,89.348 ± 0.359
0.897 ± 0.004,89.404 ± 0.378
0.896 ± 0.004,89.417 ± 0.466
0.897 ± 0.005,89.435 ± 0.436
0.897 ± 0.005,89.511 ± 0.549
0.897 ± 0.003,89.536 ± 0.449
0.897 ± 0.004,89.572 ± 0.434
0.898 ± 0.004,89.480 ± 0.510
0.897 ± 0.003,89.544 ± 0.444
0.896 ± 0.004,89.470 ± 0.396
0.896 ± 0.004,89.404 ± 0.490
0.896 ± 0.004,89.437 ± 0.471
0.897 ± 0.004,89.513 ± 0.477
0.897 ± 0.004,89.457 ± 0.385
0.897 ± 0.003,89.450 ± 0.413
0.895 ± 0.006,89.196 ± 0.391
0.896 ± 0.005,89.341 ± 0.393
0.896 ± 0.004,89.374 ± 0.443
0.896 ± 0.006,89.219 ± 0.428
0.896 ± 0.005,89.252 ± 0.389
0.897 ± 0.004,89.359 ± 0.382
0.895 ± 0.005,89.391 ± 0.396
0.896 ± 0.004,89.288 ± 0.364
0.897 ± 0.004,89.379 ± 0.406
0.895 ± 0.004,89.201 ± 0.326
0.895 ± 0.004,89.356 ± 0.369
0.897 ± 0.004,89.351 ± 0.382
0.896 ± 0.004,89.305 ± 0.232
0.896 ± 0.003,89.369 ± 0.389
0.897 ± 0.003,89.473 ± 0.466
0.896 ± 0.004,89.348 ± 0.368
0.896 ± 0.003,89.356 ± 0.369
0.897 ± 0.004,89.341 ± 0.393
0.897 ± 0.004,89.343 ± 0.361
0.896 ± 0.004,89.320 ± 0.367
0.896 ± 0.003,89.445 ± 0.415
0.897 ± 0.004,89.460 ± 0.465
0.897 ± 0.004,89.384 ± 0.394
