0.477 ± 0.030,47.493 ± 2.930
0.475 ± 0.022,47.118 ± 2.785
0.435 ± 0.023,43.650 ± 2.738
0.448 ± 0.020,44.736 ± 2.579
0.457 ± 0.019,45.418 ± 2.868
0.466 ± 0.019,45.581 ± 2.167
0.470 ± 0.017,46.455 ± 1.991
0.465 ± 0.011,46.273 ± 2.301
0.460 ± 0.010,45.514 ± 2.147
0.464 ± 0.013,45.975 ± 2.275
0.470 ± 0.021,47.051 ± 2.184
0.436 ± 0.032,42.853 ± 3.110
0.445 ± 0.019,43.439 ± 2.031
0.448 ± 0.017,43.996 ± 1.942
0.442 ± 0.022,43.535 ± 1.432
0.449 ± 0.016,43.910 ± 1.901
0.457 ± 0.016,45.207 ± 1.883
0.474 ± 0.018,45.956 ± 2.071
0.468 ± 0.014,46.013 ± 2.914
0.473 ± 0.024,46.484 ± 3.001
0.451 ± 0.012,44.688 ± 1.990
0.453 ± 0.016,44.909 ± 1.456
0.453 ± 0.016,44.246 ± 2.172
0.456 ± 0.066,45.293 ± 7.470
0.450 ± 0.069,44.313 ± 6.256
0.444 ± 0.060,44.765 ± 7.161
0.433 ± 0.019,43.987 ± 2.461
0.439 ± 0.025,43.823 ± 3.039
0.449 ± 0.028,45.110 ± 3.697
0.466 ± 0.034,46.340 ± 3.668
0.469 ± 0.022,46.801 ± 1.604
0.473 ± 0.021,47.118 ± 3.216
0.462 ± 0.027,46.244 ± 2.687
0.464 ± 0.018,46.503 ± 2.229
0.473 ± 0.029,47.137 ± 2.586
0.462 ± 0.015,45.965 ± 2.019
0.480 ± 0.018,47.349 ± 1.756
0.482 ± 0.018,47.810 ± 2.915
0.455 ± 0.016,45.408 ± 1.621
0.457 ± 0.017,45.629 ± 2.646
0.470 ± 0.016,47.041 ± 2.550
0.459 ± 0.012,45.620 ± 2.042
0.473 ± 0.012,46.840 ± 1.985
0.483 ± 0.013,48.031 ± 2.129
0.446 ± 0.011,44.150 ± 2.035
0.456 ± 0.010,45.533 ± 2.067
0.459 ± 0.014,45.821 ± 1.735
0.470 ± 0.039,47.061 ± 4.420
0.484 ± 0.017,47.819 ± 2.971
0.476 ± 0.028,47.675 ± 3.545
0.436 ± 0.026,43.573 ± 3.133
0.431 ± 0.031,42.882 ± 3.491
0.446 ± 0.025,44.947 ± 3.176
0.476 ± 0.023,46.350 ± 2.248
0.474 ± 0.020,47.128 ± 2.828
0.481 ± 0.015,47.483 ± 2.037
0.464 ± 0.025,45.946 ± 2.972
0.467 ± 0.014,46.715 ± 2.211
0.476 ± 0.023,47.627 ± 2.504
0.441 ± 0.021,43.160 ± 2.651
0.441 ± 0.019,43.237 ± 2.856
0.455 ± 0.022,44.457 ± 2.447
0.452 ± 0.017,44.707 ± 2.024
0.454 ± 0.014,44.717 ± 2.175
0.459 ± 0.016,45.216 ± 2.025
0.469 ± 0.014,46.436 ± 1.964
0.464 ± 0.019,45.831 ± 2.123
0.466 ± 0.020,45.764 ± 2.509
0.452 ± 0.010,45.072 ± 1.637
0.457 ± 0.011,44.899 ± 2.206
0.458 ± 0.011,45.101 ± 1.706
0.462 ± 0.025,46.206 ± 2.357
0.473 ± 0.015,47.262 ± 2.491
0.480 ± 0.022,47.819 ± 2.777
0.448 ± 0.024,45.005 ± 3.032
0.444 ± 0.015,44.947 ± 2.774
0.448 ± 0.017,44.765 ± 2.191
0.448 ± 0.012,43.785 ± 1.871
0.447 ± 0.013,44.265 ± 1.949
0.452 ± 0.014,44.717 ± 2.006
0.443 ± 0.019,44.486 ± 2.167
0.445 ± 0.012,44.832 ± 2.143
0.458 ± 0.019,45.581 ± 2.312
0.479 ± 0.008,47.598 ± 2.404
0.476 ± 0.014,47.262 ± 2.209
0.482 ± 0.008,47.829 ± 1.576
0.437 ± 0.008,43.477 ± 1.403
0.439 ± 0.008,43.670 ± 1.129
0.441 ± 0.014,43.593 ± 1.204
0.498 ± 0.011,49.885 ± 2.089
0.496 ± 0.010,49.510 ± 1.928
0.495 ± 0.011,49.443 ± 1.724
0.474 ± 0.009,47.291 ± 1.950
0.472 ± 0.010,47.118 ± 1.349
0.472 ± 0.009,46.744 ± 1.495
0.454 ± 0.024,45.245 ± 2.647
0.467 ± 0.025,46.580 ± 3.401
0.469 ± 0.025,47.041 ± 2.699
0.445 ± 0.027,44.832 ± 2.964
0.437 ± 0.028,43.939 ± 3.145
0.440 ± 0.025,44.063 ± 2.837
0.434 ± 0.014,43.525 ± 2.270
0.439 ± 0.021,44.063 ± 2.297
0.453 ± 0.018,45.053 ± 2.027
0.436 ± 0.018,43.506 ± 2.169
0.443 ± 0.024,44.486 ± 3.014
0.456 ± 0.018,45.466 ± 2.207
0.461 ± 0.009,45.927 ± 1.733
0.457 ± 0.011,45.860 ± 2.147
0.462 ± 0.008,46.177 ± 1.235
0.426 ± 0.013,43.228 ± 1.853
0.423 ± 0.007,42.728 ± 0.958
0.426 ± 0.012,42.622 ± 2.149
0.475 ± 0.014,47.541 ± 1.698
0.471 ± 0.006,46.964 ± 1.680
0.471 ± 0.010,47.080 ± 1.941
0.460 ± 0.011,46.186 ± 2.188
0.452 ± 0.008,45.485 ± 1.388
0.450 ± 0.010,44.909 ± 1.553
0.458 ± 0.027,45.495 ± 3.298
0.460 ± 0.020,46.090 ± 2.872
0.479 ± 0.024,47.656 ± 3.143
0.443 ± 0.017,44.688 ± 2.068
0.445 ± 0.029,44.822 ± 3.001
0.441 ± 0.015,44.207 ± 2.479
0.446 ± 0.014,44.092 ± 1.459
0.449 ± 0.017,44.294 ± 2.772
0.455 ± 0.019,44.899 ± 2.519
0.436 ± 0.022,43.689 ± 2.357
0.445 ± 0.021,44.217 ± 2.652
0.453 ± 0.025,45.159 ± 2.812
0.483 ± 0.011,47.675 ± 1.710
0.475 ± 0.009,47.791 ± 2.312
0.476 ± 0.016,46.964 ± 1.694
0.435 ± 0.010,43.276 ± 1.863
0.435 ± 0.011,43.122 ± 1.527
0.432 ± 0.012,42.939 ± 1.608
0.493 ± 0.010,49.308 ± 1.967
0.494 ± 0.011,49.424 ± 2.026
0.491 ± 0.010,49.289 ± 1.895
0.472 ± 0.009,47.070 ± 1.469
0.467 ± 0.011,46.378 ± 1.720
0.466 ± 0.013,46.263 ± 1.625
0.462 ± 0.022,45.831 ± 2.613
0.468 ± 0.017,46.647 ± 1.946
0.465 ± 0.025,46.542 ± 2.877
0.436 ± 0.017,43.862 ± 2.296
0.445 ± 0.016,45.062 ± 2.593
0.438 ± 0.018,43.698 ± 2.465
0.439 ± 0.011,44.102 ± 1.384
0.443 ± 0.012,43.708 ± 1.648
0.457 ± 0.022,45.197 ± 2.563
0.444 ± 0.014,44.236 ± 1.863
0.452 ± 0.016,44.870 ± 1.629
0.455 ± 0.014,45.456 ± 1.850
0.471 ± 0.010,46.782 ± 1.496
0.471 ± 0.014,46.561 ± 1.946
0.469 ± 0.013,46.676 ± 2.497
0.436 ± 0.008,43.497 ± 1.602
0.436 ± 0.011,43.103 ± 1.894
0.439 ± 0.013,43.189 ± 1.388
0.492 ± 0.008,48.838 ± 2.091
0.492 ± 0.007,48.982 ± 2.176
0.492 ± 0.012,48.501 ± 2.183
0.469 ± 0.009,46.811 ± 1.297
0.468 ± 0.008,46.475 ± 1.886
0.466 ± 0.011,46.398 ± 1.445
0.454 ± 0.019,45.773 ± 2.875
0.457 ± 0.018,45.408 ± 2.429
0.474 ± 0.020,47.147 ± 2.801
0.426 ± 0.022,42.805 ± 1.783
0.424 ± 0.024,43.141 ± 3.026
0.431 ± 0.025,43.593 ± 3.548
0.449 ± 0.015,44.832 ± 2.011
0.450 ± 0.010,44.553 ± 2.221
0.456 ± 0.014,45.716 ± 2.382
0.440 ± 0.022,44.073 ± 2.041
0.452 ± 0.018,45.101 ± 2.458
0.453 ± 0.017,45.245 ± 2.248
0.455 ± 0.009,45.110 ± 1.907
0.451 ± 0.011,44.669 ± 1.922
0.449 ± 0.012,45.476 ± 1.517
0.424 ± 0.013,42.248 ± 2.254
0.428 ± 0.014,42.699 ± 1.957
0.433 ± 0.016,43.189 ± 2.253
0.463 ± 0.009,46.782 ± 1.961
0.463 ± 0.007,46.378 ± 1.693
0.461 ± 0.014,46.061 ± 2.581
0.452 ± 0.006,44.938 ± 2.223
0.452 ± 0.006,45.130 ± 1.978
0.445 ± 0.007,43.996 ± 1.549
0.464 ± 0.018,46.407 ± 2.389
0.467 ± 0.020,47.012 ± 2.925
0.465 ± 0.021,46.321 ± 2.887
0.434 ± 0.010,43.679 ± 1.805
0.434 ± 0.023,43.314 ± 2.858
0.439 ± 0.019,44.400 ± 2.634
0.438 ± 0.016,43.948 ± 2.269
0.441 ± 0.018,43.554 ± 2.185
0.455 ± 0.019,45.264 ± 2.594
0.448 ± 0.020,44.755 ± 1.572
0.450 ± 0.019,45.005 ± 2.212
0.454 ± 0.017,45.427 ± 1.771
0.469 ± 0.013,46.695 ± 1.798
0.465 ± 0.014,46.282 ± 2.087
0.462 ± 0.008,46.033 ± 2.195
0.430 ± 0.010,42.642 ± 1.690
0.431 ± 0.014,42.613 ± 2.037
0.437 ± 0.010,43.679 ± 1.749
0.490 ± 0.011,48.790 ± 2.169
0.490 ± 0.007,48.588 ± 2.271
0.485 ± 0.013,48.232 ± 2.366
0.470 ± 0.007,46.273 ± 1.505
0.463 ± 0.012,46.033 ± 2.121
0.461 ± 0.010,45.591 ± 2.153
0.475 ± 0.021,46.801 ± 2.944
0.477 ± 0.022,47.579 ± 2.123
0.482 ± 0.020,47.829 ± 2.913
0.423 ± 0.027,42.613 ± 3.418
0.431 ± 0.022,43.285 ± 2.004
0.455 ± 0.022,45.062 ± 2.185
0.450 ± 0.017,44.371 ± 2.480
0.457 ± 0.019,45.014 ± 2.588
0.472 ± 0.017,46.494 ± 1.929
0.445 ± 0.023,44.669 ± 2.154
0.460 ± 0.016,45.639 ± 1.675
0.468 ± 0.018,46.926 ± 2.062
0.442 ± 0.020,43.420 ± 1.889
0.452 ± 0.020,43.929 ± 2.310
0.449 ± 0.016,44.083 ± 1.900
0.439 ± 0.014,43.218 ± 2.281
0.446 ± 0.016,44.006 ± 1.392
0.452 ± 0.014,45.062 ± 1.954
0.478 ± 0.014,46.974 ± 1.915
0.473 ± 0.019,46.513 ± 2.271
0.480 ± 0.020,46.715 ± 2.554
0.459 ± 0.015,45.062 ± 1.885
0.448 ± 0.019,44.015 ± 1.799
0.459 ± 0.011,44.976 ± 1.959
0.444 ± 0.033,44.409 ± 4.168
0.436 ± 0.063,43.612 ± 6.532
0.411 ± 0.081,41.566 ± 8.383
0.406 ± 0.031,40.788 ± 3.602
0.432 ± 0.037,43.151 ± 3.882
0.458 ± 0.020,45.754 ± 2.952
0.457 ± 0.027,45.370 ± 2.677
0.466 ± 0.024,46.378 ± 2.763
0.463 ± 0.022,46.523 ± 2.853
0.451 ± 0.019,44.928 ± 2.291
0.455 ± 0.014,45.677 ± 1.972
0.465 ± 0.014,46.628 ± 1.851
0.453 ± 0.016,45.082 ± 1.684
0.463 ± 0.015,45.514 ± 2.250
0.474 ± 0.020,47.041 ± 2.764
0.453 ± 0.017,45.130 ± 1.882
0.459 ± 0.020,45.610 ± 2.368
0.465 ± 0.019,46.561 ± 2.064
0.452 ± 0.009,45.034 ± 1.620
0.469 ± 0.011,46.494 ± 1.463
0.480 ± 0.013,47.483 ± 1.963
0.442 ± 0.012,44.131 ± 2.227
0.452 ± 0.018,44.784 ± 1.768
0.458 ± 0.013,45.850 ± 1.862
0.475 ± 0.020,47.608 ± 2.626
0.472 ± 0.028,47.003 ± 2.942
0.483 ± 0.012,47.685 ± 1.933
0.413 ± 0.042,41.489 ± 4.156
0.440 ± 0.024,44.371 ± 3.084
0.452 ± 0.028,45.322 ± 3.961
0.460 ± 0.014,45.197 ± 2.566
0.466 ± 0.031,45.725 ± 2.826
0.468 ± 0.016,46.234 ± 2.153
0.441 ± 0.017,44.400 ± 2.390
0.456 ± 0.015,46.302 ± 2.302
0.465 ± 0.023,46.321 ± 2.545
0.433 ± 0.029,42.046 ± 2.172
0.438 ± 0.022,42.853 ± 2.377
0.449 ± 0.019,44.025 ± 2.324
0.438 ± 0.012,43.401 ± 2.060
0.446 ± 0.015,44.150 ± 2.092
0.458 ± 0.021,44.966 ± 2.926
0.464 ± 0.014,45.600 ± 1.757
0.459 ± 0.015,45.187 ± 2.176
0.462 ± 0.018,45.495 ± 2.299
0.456 ± 0.014,44.813 ± 2.048
0.458 ± 0.015,45.139 ± 2.292
0.458 ± 0.016,44.947 ± 2.130
0.458 ± 0.021,45.975 ± 2.474
0.462 ± 0.024,46.167 ± 3.116
0.476 ± 0.024,47.243 ± 3.055
0.449 ± 0.026,45.351 ± 2.678
0.449 ± 0.023,44.995 ± 2.595
0.441 ± 0.018,43.977 ± 2.897
0.449 ± 0.010,44.496 ± 1.406
0.454 ± 0.014,44.918 ± 1.890
0.456 ± 0.015,44.659 ± 2.320
0.440 ± 0.023,43.958 ± 2.341
0.453 ± 0.018,45.168 ± 2.080
0.458 ± 0.018,45.620 ± 2.150
0.481 ± 0.009,47.704 ± 2.045
0.479 ± 0.012,47.493 ± 1.936
0.477 ± 0.008,47.329 ± 1.535
0.442 ± 0.007,44.217 ± 1.466
0.440 ± 0.007,43.794 ± 1.207
0.437 ± 0.009,43.804 ± 1.392
0.500 ± 0.012,49.875 ± 1.582
0.498 ± 0.012,49.654 ± 1.791
0.496 ± 0.009,49.232 ± 1.782
0.475 ± 0.007,47.560 ± 1.772
0.474 ± 0.011,46.753 ± 1.367
0.470 ± 0.008,46.417 ± 1.830
0.458 ± 0.027,45.725 ± 3.109
0.462 ± 0.023,45.629 ± 2.989
0.469 ± 0.025,46.888 ± 3.450
0.435 ± 0.025,43.823 ± 2.500
0.438 ± 0.029,44.169 ± 2.809
0.448 ± 0.016,44.582 ± 2.395
0.437 ± 0.017,43.670 ± 2.738
0.434 ± 0.012,43.900 ± 2.494
0.452 ± 0.019,45.255 ± 1.896
0.435 ± 0.026,43.737 ± 2.611
0.443 ± 0.024,44.159 ± 2.879
0.456 ± 0.023,45.322 ± 2.574
0.463 ± 0.010,46.206 ± 1.927
0.461 ± 0.007,46.119 ± 2.200
0.463 ± 0.009,46.542 ± 1.198
0.425 ± 0.012,43.036 ± 1.929
0.429 ± 0.013,42.968 ± 2.159
0.431 ± 0.013,42.882 ± 1.579
0.474 ± 0.010,47.733 ± 1.487
0.470 ± 0.008,47.387 ± 1.754
0.475 ± 0.010,47.329 ± 1.831
0.458 ± 0.008,46.177 ± 1.832
0.454 ± 0.008,45.821 ± 1.205
0.457 ± 0.011,45.466 ± 1.326
0.459 ± 0.033,45.620 ± 3.358
0.462 ± 0.021,46.407 ± 2.822
0.476 ± 0.019,47.205 ± 2.158
0.442 ± 0.020,44.601 ± 2.085
0.446 ± 0.028,44.745 ± 3.671
0.447 ± 0.024,44.899 ± 3.668
0.448 ± 0.013,44.515 ± 1.827
0.451 ± 0.016,44.774 ± 2.552
0.455 ± 0.012,44.813 ± 1.940
0.437 ± 0.019,43.670 ± 2.208
0.443 ± 0.026,44.015 ± 2.699
0.455 ± 0.018,45.226 ± 2.039
0.477 ± 0.009,47.445 ± 1.701
0.476 ± 0.008,47.397 ± 2.565
0.477 ± 0.011,46.888 ± 1.499
0.436 ± 0.009,43.766 ± 1.335
0.439 ± 0.006,43.708 ± 1.483
0.441 ± 0.016,43.689 ± 1.747
0.494 ± 0.011,49.011 ± 1.879
0.493 ± 0.009,49.347 ± 1.908
0.493 ± 0.011,49.135 ± 1.862
0.473 ± 0.010,46.599 ± 1.561
0.470 ± 0.011,46.878 ± 1.487
0.468 ± 0.013,46.417 ± 1.575
