0.612 ± 0.044,61.153 ± 4.793
0.654 ± 0.057,64.870 ± 6.588
0.582 ± 0.068,58.127 ± 6.628
0.669 ± 0.053,66.523 ± 5.280
0.700 ± 0.012,69.452 ± 2.246
0.597 ± 0.027,59.846 ± 3.948
0.633 ± 0.026,63.151 ± 3.048
0.669 ± 0.015,66.763 ± 2.535
0.650 ± 0.028,64.697 ± 2.942
0.684 ± 0.020,68.300 ± 2.172
0.695 ± 0.013,68.963 ± 1.941
0.598 ± 0.018,59.414 ± 2.497
0.618 ± 0.020,61.431 ± 2.287
0.649 ± 0.020,64.342 ± 3.093
0.674 ± 0.024,67.061 ± 3.295
0.689 ± 0.016,68.415 ± 2.800
0.688 ± 0.015,68.453 ± 2.700
0.619 ± 0.017,61.902 ± 2.385
0.621 ± 0.020,61.912 ± 2.482
0.641 ± 0.015,64.207 ± 2.834
0.662 ± 0.014,65.994 ± 2.276
0.671 ± 0.011,66.916 ± 2.132
0.678 ± 0.018,67.243 ± 2.397
0.483 ± 0.067,48.117 ± 6.792
0.477 ± 0.102,47.454 ± 10.673
0.577 ± 0.103,57.579 ± 11.204
0.534 ± 0.069,53.103 ± 7.726
0.540 ± 0.097,53.775 ± 8.769
0.641 ± 0.107,63.333 ± 11.939
0.562 ± 0.038,55.773 ± 3.698
0.571 ± 0.052,57.224 ± 4.992
0.651 ± 0.029,64.669 ± 3.409
0.622 ± 0.034,61.777 ± 4.143
0.641 ± 0.046,63.804 ± 4.928
0.659 ± 0.058,65.985 ± 6.209
0.623 ± 0.018,62.680 ± 1.948
0.652 ± 0.023,64.822 ± 2.583
0.679 ± 0.018,67.550 ± 2.502
0.674 ± 0.026,66.830 ± 3.555
0.685 ± 0.017,68.530 ± 2.276
0.706 ± 0.012,70.442 ± 1.825
0.682 ± 0.019,68.213 ± 1.857
0.696 ± 0.016,69.011 ± 1.642
0.704 ± 0.012,69.760 ± 1.728
0.701 ± 0.012,69.962 ± 2.316
0.708 ± 0.011,70.538 ± 1.904
0.715 ± 0.013,71.076 ± 2.227
0.556 ± 0.044,55.466 ± 4.798
0.588 ± 0.068,58.290 ± 6.999
0.659 ± 0.033,65.389 ± 2.834
0.549 ± 0.060,55.197 ± 6.468
0.630 ± 0.091,62.920 ± 9.050
0.664 ± 0.072,65.937 ± 7.140
0.608 ± 0.030,60.711 ± 3.607
0.625 ± 0.023,62.690 ± 3.032
0.664 ± 0.024,66.580 ± 3.393
0.630 ± 0.045,62.690 ± 5.239
0.678 ± 0.022,67.262 ± 2.857
0.687 ± 0.021,68.329 ± 2.950
0.600 ± 0.021,59.693 ± 3.480
0.631 ± 0.023,62.834 ± 2.959
0.673 ± 0.025,67.003 ± 2.791
0.657 ± 0.027,65.562 ± 2.997
0.680 ± 0.022,67.147 ± 3.200
0.687 ± 0.019,68.530 ± 2.496
0.609 ± 0.020,60.644 ± 1.903
0.625 ± 0.020,62.181 ± 2.930
0.669 ± 0.013,66.090 ± 2.885
