0.448 ± 0.019,44.912 ± 3.785
0.469 ± 0.028,47.390 ± 3.527
0.435 ± 0.018,43.268 ± 1.924
0.435 ± 0.020,43.750 ± 1.771
0.438 ± 0.024,43.772 ± 1.733
0.494 ± 0.023,50.680 ± 2.016
0.492 ± 0.023,50.833 ± 1.883
0.503 ± 0.025,51.316 ± 2.416
0.454 ± 0.017,45.833 ± 1.944
0.461 ± 0.015,46.140 ± 1.391
0.468 ± 0.016,47.719 ± 2.368
0.536 ± 0.017,54.627 ± 2.159
0.522 ± 0.017,54.079 ± 2.370
0.530 ± 0.015,54.123 ± 1.748
0.495 ± 0.019,50.965 ± 2.138
0.491 ± 0.018,50.219 ± 1.771
0.489 ± 0.019,49.912 ± 1.846
0.574 ± 0.013,58.618 ± 1.690
0.559 ± 0.014,57.171 ± 1.942
0.557 ± 0.023,57.127 ± 1.843
0.550 ± 0.017,57.083 ± 1.845
0.546 ± 0.017,55.855 ± 1.264
0.528 ± 0.013,54.298 ± 2.648
0.445 ± 0.029,44.737 ± 4.110
0.434 ± 0.022,43.640 ± 2.716
0.454 ± 0.021,46.360 ± 3.291
0.430 ± 0.021,42.632 ± 1.606
0.427 ± 0.021,42.851 ± 1.567
0.435 ± 0.024,43.289 ± 2.250
0.486 ± 0.020,49.627 ± 2.029
0.484 ± 0.023,50.285 ± 2.481
0.482 ± 0.028,49.452 ± 2.215
0.445 ± 0.023,44.496 ± 2.328
0.454 ± 0.016,45.899 ± 1.892
0.465 ± 0.026,46.513 ± 3.460
0.506 ± 0.019,52.873 ± 2.736
0.502 ± 0.015,51.009 ± 2.545
0.504 ± 0.014,51.184 ± 1.713
0.481 ± 0.018,48.794 ± 2.058
0.482 ± 0.015,48.750 ± 1.520
0.480 ± 0.018,48.399 ± 1.010
0.538 ± 0.018,55.592 ± 1.388
0.527 ± 0.012,54.583 ± 2.423
0.521 ± 0.016,52.873 ± 1.310
0.539 ± 0.014,55.022 ± 1.785
0.529 ± 0.012,54.386 ± 2.432
0.508 ± 0.017,52.456 ± 2.028
0.458 ± 0.028,46.272 ± 4.056
0.449 ± 0.020,45.482 ± 3.234
0.441 ± 0.030,44.254 ± 2.646
0.431 ± 0.019,42.895 ± 1.317
0.432 ± 0.020,43.289 ± 1.523
0.435 ± 0.021,43.311 ± 1.804
0.486 ± 0.025,49.430 ± 2.543
0.493 ± 0.023,50.526 ± 1.955
0.497 ± 0.021,50.526 ± 1.482
0.452 ± 0.019,44.693 ± 1.980
0.457 ± 0.011,46.075 ± 1.674
0.470 ± 0.021,47.149 ± 1.682
0.525 ± 0.023,54.342 ± 2.649
0.521 ± 0.021,53.575 ± 2.684
0.515 ± 0.014,52.807 ± 2.045
0.494 ± 0.019,50.132 ± 1.972
0.484 ± 0.017,49.715 ± 1.727
0.488 ± 0.016,49.890 ± 1.642
0.570 ± 0.019,58.377 ± 2.496
0.551 ± 0.014,57.127 ± 1.283
0.552 ± 0.013,56.075 ± 1.394
0.551 ± 0.017,56.294 ± 1.475
0.537 ± 0.011,54.912 ± 2.296
0.525 ± 0.009,53.399 ± 2.086
0.476 ± 0.022,48.092 ± 2.661
0.472 ± 0.018,48.224 ± 1.772
0.488 ± 0.024,49.320 ± 2.536
0.444 ± 0.020,44.496 ± 1.288
0.444 ± 0.019,44.868 ± 1.942
0.456 ± 0.019,46.513 ± 1.505
0.513 ± 0.015,52.259 ± 2.587
0.505 ± 0.017,52.171 ± 3.118
0.503 ± 0.018,50.789 ± 1.796
0.463 ± 0.013,47.171 ± 1.875
0.461 ± 0.019,46.842 ± 1.722
0.464 ± 0.019,46.382 ± 1.542
0.573 ± 0.016,58.421 ± 1.363
0.563 ± 0.013,57.412 ± 1.565
0.558 ± 0.015,56.579 ± 1.827
0.509 ± 0.020,51.645 ± 2.323
0.508 ± 0.019,51.776 ± 2.190
0.493 ± 0.014,50.285 ± 2.871
0.598 ± 0.011,60.724 ± 1.426
0.595 ± 0.012,60.219 ± 1.395
0.582 ± 0.010,59.386 ± 1.765
0.570 ± 0.016,58.004 ± 2.051
0.563 ± 0.014,57.018 ± 1.687
0.547 ± 0.015,55.044 ± 2.559
0.466 ± 0.016,46.579 ± 2.848
0.467 ± 0.015,46.404 ± 1.708
0.473 ± 0.012,47.566 ± 2.326
0.443 ± 0.015,44.737 ± 1.404
0.445 ± 0.017,44.605 ± 1.276
0.452 ± 0.014,45.461 ± 1.861
0.517 ± 0.018,52.456 ± 2.406
0.509 ± 0.014,51.623 ± 2.639
0.500 ± 0.018,50.724 ± 3.353
0.459 ± 0.012,46.491 ± 2.137
0.461 ± 0.013,46.294 ± 1.195
0.457 ± 0.015,45.680 ± 1.690
0.563 ± 0.018,56.842 ± 1.845
0.555 ± 0.016,56.425 ± 2.237
0.542 ± 0.013,54.759 ± 1.690
0.512 ± 0.014,52.039 ± 2.824
0.507 ± 0.015,51.338 ± 2.907
0.495 ± 0.023,49.978 ± 2.836
0.582 ± 0.015,59.211 ± 2.064
0.575 ± 0.010,58.640 ± 1.331
0.573 ± 0.013,58.158 ± 1.687
0.562 ± 0.011,57.215 ± 1.997
0.553 ± 0.016,56.425 ± 1.755
0.546 ± 0.018,55.592 ± 2.230
0.469 ± 0.012,47.434 ± 2.679
0.467 ± 0.011,47.544 ± 2.201
0.479 ± 0.027,48.465 ± 2.223
0.443 ± 0.017,44.364 ± 1.603
0.441 ± 0.020,44.627 ± 1.639
0.456 ± 0.014,45.066 ± 1.930
0.514 ± 0.020,51.930 ± 3.019
0.503 ± 0.013,51.491 ± 2.633
0.507 ± 0.015,51.667 ± 2.081
0.462 ± 0.013,46.930 ± 1.934
0.462 ± 0.016,46.908 ± 1.862
0.463 ± 0.019,46.601 ± 1.785
0.569 ± 0.014,57.961 ± 1.899
0.559 ± 0.017,57.127 ± 1.965
0.551 ± 0.013,55.746 ± 1.707
0.509 ± 0.019,51.908 ± 2.290
0.506 ± 0.015,51.974 ± 2.548
0.502 ± 0.017,51.601 ± 2.346
0.593 ± 0.013,60.197 ± 1.942
0.589 ± 0.012,59.737 ± 1.812
0.580 ± 0.015,59.211 ± 1.760
0.570 ± 0.013,57.785 ± 1.520
0.561 ± 0.016,57.105 ± 1.827
0.554 ± 0.019,56.206 ± 1.732
0.467 ± 0.013,47.215 ± 1.551
0.473 ± 0.016,48.202 ± 1.746
0.478 ± 0.020,49.211 ± 1.422
0.436 ± 0.020,43.487 ± 1.776
0.442 ± 0.017,43.969 ± 1.945
0.445 ± 0.018,44.079 ± 1.319
0.502 ± 0.016,50.526 ± 2.985
0.504 ± 0.019,51.930 ± 2.739
0.497 ± 0.020,50.789 ± 2.391
0.457 ± 0.013,45.526 ± 2.106
0.462 ± 0.019,46.447 ± 1.868
0.460 ± 0.014,46.096 ± 2.078
0.556 ± 0.015,57.039 ± 2.679
0.547 ± 0.018,56.469 ± 1.833
0.538 ± 0.013,55.351 ± 1.561
0.509 ± 0.018,52.215 ± 2.478
0.495 ± 0.012,51.075 ± 2.109
0.496 ± 0.021,50.789 ± 2.580
0.587 ± 0.011,60.197 ± 1.570
0.582 ± 0.014,59.211 ± 1.929
0.578 ± 0.014,59.649 ± 1.696
0.563 ± 0.013,57.368 ± 1.291
0.557 ± 0.014,56.952 ± 1.656
0.543 ± 0.018,55.504 ± 1.651
0.460 ± 0.017,46.140 ± 2.731
0.463 ± 0.021,46.294 ± 2.336
0.471 ± 0.018,47.456 ± 2.856
0.437 ± 0.020,43.531 ± 2.099
0.438 ± 0.017,43.794 ± 1.229
0.439 ± 0.014,44.232 ± 1.465
0.496 ± 0.017,50.921 ± 2.527
0.484 ± 0.017,49.781 ± 3.427
0.491 ± 0.018,50.658 ± 1.927
0.456 ± 0.011,45.702 ± 2.480
0.456 ± 0.019,45.526 ± 1.630
0.462 ± 0.012,47.039 ± 1.940
0.543 ± 0.017,55.943 ± 1.777
0.536 ± 0.018,55.307 ± 1.611
0.530 ± 0.019,53.750 ± 1.965
0.500 ± 0.015,50.965 ± 2.356
0.491 ± 0.020,50.154 ± 2.913
0.479 ± 0.017,49.145 ± 2.692
0.566 ± 0.012,58.465 ± 1.488
0.565 ± 0.010,57.697 ± 1.399
0.559 ± 0.015,57.237 ± 1.362
0.557 ± 0.015,57.105 ± 1.253
0.545 ± 0.018,55.789 ± 1.972
0.532 ± 0.020,55.329 ± 2.067
0.468 ± 0.016,47.237 ± 2.558
0.458 ± 0.016,46.272 ± 2.988
0.474 ± 0.018,47.741 ± 2.374
0.438 ± 0.019,43.684 ± 1.386
0.439 ± 0.019,43.838 ± 1.303
0.440 ± 0.016,44.123 ± 1.267
0.500 ± 0.015,51.096 ± 2.671
0.496 ± 0.015,50.768 ± 1.848
0.489 ± 0.016,50.241 ± 2.692
0.458 ± 0.016,45.789 ± 2.078
0.461 ± 0.016,46.294 ± 1.419
0.460 ± 0.016,46.491 ± 1.201
0.550 ± 0.021,56.732 ± 1.741
0.545 ± 0.017,56.425 ± 2.471
0.536 ± 0.017,54.934 ± 2.174
0.510 ± 0.022,52.105 ± 1.848
0.501 ± 0.020,51.579 ± 2.631
0.495 ± 0.017,50.373 ± 1.356
0.586 ± 0.010,60.022 ± 1.647
0.575 ± 0.014,58.991 ± 1.964
0.568 ± 0.018,58.421 ± 1.991
0.559 ± 0.011,57.368 ± 1.947
0.555 ± 0.017,57.193 ± 2.045
0.540 ± 0.014,55.658 ± 2.144
0.459 ± 0.028,45.351 ± 3.429
0.451 ± 0.026,45.154 ± 3.020
0.458 ± 0.034,46.820 ± 4.079
0.431 ± 0.021,43.202 ± 1.853
0.429 ± 0.017,43.026 ± 1.623
0.434 ± 0.020,43.772 ± 1.561
0.481 ± 0.020,48.662 ± 2.136
0.494 ± 0.022,50.022 ± 1.502
0.497 ± 0.021,51.031 ± 2.126
0.460 ± 0.022,46.184 ± 2.039
0.457 ± 0.017,45.965 ± 2.158
0.467 ± 0.018,47.039 ± 1.965
0.533 ± 0.019,54.671 ± 1.475
0.522 ± 0.021,53.816 ± 1.884
0.529 ± 0.018,54.232 ± 1.768
0.494 ± 0.017,50.570 ± 1.897
0.484 ± 0.014,49.145 ± 1.280
0.486 ± 0.014,50.110 ± 1.551
0.571 ± 0.015,58.136 ± 1.546
0.560 ± 0.017,57.500 ± 1.487
0.562 ± 0.018,57.105 ± 1.320
0.551 ± 0.014,56.053 ± 0.916
0.539 ± 0.016,55.241 ± 1.273
0.531 ± 0.016,54.649 ± 1.376
0.430 ± 0.024,43.070 ± 2.235
0.437 ± 0.033,43.750 ± 3.405
0.436 ± 0.026,44.715 ± 2.272
0.427 ± 0.021,42.851 ± 1.848
0.429 ± 0.020,42.610 ± 1.763
0.433 ± 0.022,43.246 ± 1.626
0.481 ± 0.026,48.618 ± 3.595
0.481 ± 0.021,48.860 ± 2.325
0.472 ± 0.032,47.368 ± 3.960
0.448 ± 0.023,44.320 ± 2.890
0.448 ± 0.019,45.022 ± 2.398
0.462 ± 0.025,46.535 ± 3.007
0.507 ± 0.020,52.149 ± 2.635
0.507 ± 0.011,51.579 ± 3.099
0.507 ± 0.021,51.689 ± 2.690
0.478 ± 0.017,49.013 ± 1.694
0.476 ± 0.020,48.618 ± 1.312
