0.843 ± 0.015,84.205 ± 1.829
0.849 ± 0.009,84.930 ± 2.373
0.800 ± 0.044,80.040 ± 4.598
0.830 ± 0.027,82.998 ± 3.358
0.836 ± 0.014,83.843 ± 2.494
0.854 ± 0.012,85.433 ± 1.705
0.857 ± 0.011,85.533 ± 1.413
0.860 ± 0.010,86.117 ± 1.683
0.839 ± 0.008,83.541 ± 1.828
0.842 ± 0.013,83.702 ± 1.659
0.851 ± 0.009,84.406 ± 1.580
0.867 ± 0.014,86.761 ± 1.634
0.865 ± 0.010,86.620 ± 1.125
0.865 ± 0.007,86.579 ± 1.553
0.857 ± 0.006,85.352 ± 1.537
0.860 ± 0.008,85.714 ± 1.170
0.857 ± 0.011,86.278 ± 1.300
0.870 ± 0.009,86.740 ± 1.036
0.866 ± 0.008,86.740 ± 1.455
0.868 ± 0.010,86.761 ± 1.445
0.861 ± 0.010,86.197 ± 1.286
0.863 ± 0.009,86.157 ± 1.599
0.862 ± 0.011,86.439 ± 1.099
0.820 ± 0.026,81.710 ± 3.640
0.826 ± 0.025,82.777 ± 3.571
0.835 ± 0.026,83.521 ± 3.118
0.766 ± 0.043,76.861 ± 5.355
0.783 ± 0.050,78.511 ± 6.005
0.811 ± 0.044,80.845 ± 5.331
0.845 ± 0.012,84.245 ± 2.156
0.848 ± 0.009,84.869 ± 1.571
0.845 ± 0.014,84.386 ± 2.109
0.813 ± 0.027,80.885 ± 3.776
0.818 ± 0.021,81.690 ± 3.488
0.824 ± 0.019,82.274 ± 2.980
0.854 ± 0.009,85.775 ± 1.788
0.853 ± 0.006,85.875 ± 1.571
0.857 ± 0.009,85.795 ± 1.530
0.848 ± 0.005,84.990 ± 1.429
0.846 ± 0.009,84.990 ± 1.556
0.849 ± 0.011,84.748 ± 1.186
0.853 ± 0.010,85.614 ± 0.914
0.856 ± 0.008,85.976 ± 1.042
0.858 ± 0.009,85.996 ± 1.247
0.851 ± 0.006,85.131 ± 1.287
0.854 ± 0.011,85.855 ± 1.320
0.856 ± 0.008,85.191 ± 1.435
0.819 ± 0.026,82.032 ± 3.300
0.833 ± 0.019,82.817 ± 2.317
0.850 ± 0.013,84.708 ± 2.544
0.778 ± 0.051,77.565 ± 6.007
0.804 ± 0.044,80.282 ± 5.323
0.836 ± 0.013,83.441 ± 2.520
0.850 ± 0.007,84.748 ± 1.765
0.853 ± 0.010,85.332 ± 1.435
0.856 ± 0.010,85.734 ± 1.836
0.830 ± 0.017,82.978 ± 2.908
0.834 ± 0.019,82.998 ± 2.876
0.847 ± 0.010,84.205 ± 2.078
0.863 ± 0.007,86.861 ± 1.247
0.865 ± 0.007,86.499 ± 1.435
0.864 ± 0.008,86.419 ± 1.517
0.851 ± 0.010,85.151 ± 1.770
0.854 ± 0.010,85.272 ± 1.428
0.855 ± 0.009,85.614 ± 2.002
0.869 ± 0.011,87.203 ± 1.660
0.865 ± 0.007,86.579 ± 1.468
0.867 ± 0.008,86.740 ± 1.651
