0.564 ± 0.042,56.580 ± 3.987
0.596 ± 0.025,59.827 ± 2.369
0.628 ± 0.024,62.863 ± 2.683
0.646 ± 0.012,64.352 ± 3.188
0.641 ± 0.027,64.323 ± 2.868
0.535 ± 0.025,53.958 ± 2.574
0.544 ± 0.035,54.217 ± 2.763
0.594 ± 0.026,59.376 ± 2.799
0.618 ± 0.032,61.354 ± 2.833
0.631 ± 0.021,63.045 ± 2.906
0.639 ± 0.023,63.573 ± 2.782
0.594 ± 0.019,59.308 ± 3.019
0.588 ± 0.017,58.453 ± 2.441
0.592 ± 0.028,59.539 ± 2.612
0.641 ± 0.023,63.631 ± 2.766
0.636 ± 0.022,63.622 ± 2.523
0.645 ± 0.019,63.948 ± 2.646
0.640 ± 0.016,64.159 ± 1.941
0.637 ± 0.014,63.103 ± 2.338
0.611 ± 0.020,61.326 ± 1.937
0.686 ± 0.008,68.088 ± 1.977
0.687 ± 0.013,68.069 ± 1.631
0.683 ± 0.010,67.743 ± 1.569
0.466 ± 0.055,47.012 ± 5.175
0.512 ± 0.109,51.095 ± 10.679
0.636 ± 0.025,63.449 ± 2.447
0.478 ± 0.097,47.752 ± 9.780
0.603 ± 0.130,60.269 ± 13.098
0.654 ± 0.101,64.765 ± 8.683
0.516 ± 0.050,52.075 ± 4.376
0.607 ± 0.046,60.682 ± 3.867
0.645 ± 0.016,64.015 ± 2.648
0.590 ± 0.094,58.991 ± 9.338
0.685 ± 0.015,67.877 ± 2.450
0.687 ± 0.014,68.405 ± 2.255
0.559 ± 0.043,56.388 ± 4.047
0.634 ± 0.019,63.122 ± 2.612
0.654 ± 0.012,64.957 ± 1.821
0.632 ± 0.083,63.084 ± 7.406
0.697 ± 0.009,69.462 ± 2.280
0.698 ± 0.008,69.472 ± 2.295
0.641 ± 0.017,63.746 ± 2.231
0.659 ± 0.016,65.850 ± 2.115
0.664 ± 0.012,66.158 ± 1.729
0.683 ± 0.028,68.127 ± 2.495
0.703 ± 0.011,69.981 ± 2.268
0.699 ± 0.008,69.577 ± 1.998
0.499 ± 0.030,50.279 ± 3.501
0.558 ± 0.060,56.042 ± 6.211
0.608 ± 0.021,61.134 ± 2.927
0.564 ± 0.090,56.273 ± 8.558
0.616 ± 0.059,61.470 ± 4.798
0.650 ± 0.024,64.294 ± 2.899
0.535 ± 0.040,53.689 ± 4.644
0.554 ± 0.028,56.148 ± 3.539
0.597 ± 0.022,59.645 ± 3.012
0.598 ± 0.046,60.115 ± 4.204
0.633 ± 0.028,63.208 ± 2.155
0.629 ± 0.024,62.546 ± 2.883
0.580 ± 0.017,58.521 ± 2.054
0.580 ± 0.030,58.377 ± 2.679
0.603 ± 0.022,60.029 ± 3.214
0.629 ± 0.027,62.959 ± 2.627
0.624 ± 0.037,62.085 ± 3.375
0.623 ± 0.030,62.459 ± 2.949
0.630 ± 0.025,62.709 ± 2.498
0.614 ± 0.022,61.508 ± 3.130
0.613 ± 0.018,61.412 ± 2.831
0.684 ± 0.016,67.819 ± 2.036
0.680 ± 0.015,67.320 ± 1.726
0.669 ± 0.024,66.820 ± 1.665
0.621 ± 0.021,62.200 ± 3.241
0.642 ± 0.029,63.689 ± 3.503
0.649 ± 0.034,64.179 ± 3.240
0.686 ± 0.017,67.839 ± 2.618
0.666 ± 0.014,66.292 ± 1.747
0.651 ± 0.016,64.534 ± 2.396
0.680 ± 0.013,66.647 ± 1.642
0.672 ± 0.012,66.263 ± 1.808
0.666 ± 0.018,65.466 ± 2.358
0.655 ± 0.030,64.765 ± 2.611
0.658 ± 0.013,65.303 ± 1.670
0.669 ± 0.022,65.812 ± 2.726
0.714 ± 0.012,70.730 ± 1.549
0.711 ± 0.011,70.038 ± 2.061
0.708 ± 0.012,69.654 ± 2.117
0.699 ± 0.012,68.501 ± 2.004
0.693 ± 0.013,68.232 ± 2.319
0.691 ± 0.014,68.031 ± 1.680
0.735 ± 0.011,73.295 ± 1.855
0.734 ± 0.012,72.728 ± 1.729
0.729 ± 0.012,72.459 ± 1.758
0.726 ± 0.010,71.825 ± 1.871
0.723 ± 0.012,71.518 ± 1.782
0.721 ± 0.013,71.499 ± 1.962
0.644 ± 0.073,63.996 ± 7.112
0.628 ± 0.076,62.238 ± 7.754
0.666 ± 0.080,65.841 ± 8.032
0.633 ± 0.102,63.064 ± 9.739
0.671 ± 0.104,66.561 ± 9.205
