0.712 ± 0.017,70.925 ± 2.188
0.715 ± 0.017,71.221 ± 2.202
0.701 ± 0.016,70.466 ± 2.102
0.707 ± 0.014,70.721 ± 2.322
0.710 ± 0.016,71.066 ± 2.238
0.704 ± 0.015,70.388 ± 2.516
0.711 ± 0.015,70.993 ± 2.182
0.713 ± 0.016,71.442 ± 2.049
0.701 ± 0.016,70.489 ± 2.175
0.705 ± 0.016,70.582 ± 2.318
0.706 ± 0.016,70.897 ± 2.193
0.688 ± 0.021,68.842 ± 1.844
0.697 ± 0.019,69.618 ± 2.287
0.703 ± 0.020,70.281 ± 2.321
0.684 ± 0.020,68.353 ± 2.428
0.684 ± 0.019,68.327 ± 2.215
0.687 ± 0.021,68.535 ± 2.002
0.674 ± 0.027,66.191 ± 2.545
0.678 ± 0.023,67.143 ± 1.852
0.691 ± 0.022,68.604 ± 1.804
0.653 ± 0.021,65.275 ± 2.678
0.662 ± 0.015,65.949 ± 1.621
0.676 ± 0.012,67.519 ± 2.150
0.713 ± 0.017,70.667 ± 2.080
0.711 ± 0.018,71.227 ± 2.183
0.716 ± 0.014,71.497 ± 2.285
0.703 ± 0.017,70.552 ± 2.050
0.705 ± 0.017,70.860 ± 2.188
0.707 ± 0.014,71.036 ± 2.115
0.712 ± 0.014,70.893 ± 2.122
0.712 ± 0.016,71.326 ± 1.959
0.713 ± 0.015,71.221 ± 2.022
0.703 ± 0.015,70.172 ± 2.398
0.707 ± 0.017,71.038 ± 2.562
0.709 ± 0.017,70.715 ± 2.036
0.709 ± 0.016,71.015 ± 1.898
0.713 ± 0.014,71.017 ± 2.024
0.714 ± 0.014,71.341 ± 2.052
0.703 ± 0.014,69.934 ± 1.924
0.707 ± 0.015,70.234 ± 2.240
0.707 ± 0.017,70.860 ± 2.088
0.708 ± 0.018,70.755 ± 2.075
0.713 ± 0.014,71.309 ± 2.008
0.719 ± 0.017,71.459 ± 1.922
0.695 ± 0.025,69.387 ± 2.236
0.707 ± 0.018,70.603 ± 1.780
0.705 ± 0.018,70.500 ± 2.132
0.710 ± 0.018,70.953 ± 2.239
0.711 ± 0.016,71.144 ± 2.034
0.716 ± 0.018,71.502 ± 2.400
0.702 ± 0.015,70.526 ± 2.221
0.705 ± 0.017,70.843 ± 2.143
0.711 ± 0.014,70.839 ± 1.913
0.705 ± 0.017,70.573 ± 2.263
0.709 ± 0.015,71.092 ± 2.040
0.712 ± 0.015,71.403 ± 1.963
0.699 ± 0.016,70.114 ± 2.099
0.704 ± 0.014,70.586 ± 2.151
0.709 ± 0.016,70.745 ± 2.137
0.696 ± 0.019,69.754 ± 2.173
0.700 ± 0.018,70.052 ± 2.343
0.705 ± 0.019,70.320 ± 2.324
0.691 ± 0.019,69.027 ± 1.626
0.694 ± 0.020,69.162 ± 2.082
0.690 ± 0.020,69.011 ± 2.180
