0.746 ± 0.136,71.351 ± 13.085
0.778 ± 0.118,76.216 ± 11.953
0.763 ± 0.139,72.432 ± 13.929
0.737 ± 0.127,70.541 ± 12.353
0.717 ± 0.134,72.432 ± 13.229
0.854 ± 0.067,84.595 ± 6.949
0.829 ± 0.081,80.541 ± 8.866
0.841 ± 0.072,82.432 ± 5.572
0.839 ± 0.075,81.622 ± 6.486
0.836 ± 0.080,82.432 ± 7.377
0.864 ± 0.045,84.054 ± 5.192
0.864 ± 0.063,85.135 ± 6.424
0.883 ± 0.050,83.784 ± 5.539
0.859 ± 0.045,84.865 ± 5.822
0.854 ± 0.044,81.892 ± 6.049
0.854 ± 0.047,84.865 ± 5.565
0.839 ± 0.050,84.865 ± 6.642
0.871 ± 0.055,82.973 ± 8.113
0.869 ± 0.053,84.054 ± 8.149
0.866 ± 0.060,85.676 ± 6.735
0.834 ± 0.067,81.622 ± 6.598
0.832 ± 0.037,82.432 ± 7.377
0.849 ± 0.047,82.973 ± 6.286
0.717 ± 0.126,71.622 ± 13.088
0.754 ± 0.130,73.514 ± 11.326
0.749 ± 0.106,76.486 ± 11.968
0.725 ± 0.119,70.270 ± 13.018
0.719 ± 0.121,70.000 ± 13.320
0.744 ± 0.105,73.784 ± 11.907
0.827 ± 0.088,79.459 ± 8.816
0.822 ± 0.093,79.459 ± 9.533
0.803 ± 0.105,81.081 ± 9.745
0.832 ± 0.078,80.000 ± 9.378
0.839 ± 0.067,82.432 ± 6.537
0.807 ± 0.083,78.108 ± 10.288
0.849 ± 0.059,83.514 ± 5.466
0.869 ± 0.036,84.595 ± 5.275
0.868 ± 0.049,85.135 ± 5.701
0.863 ± 0.036,83.514 ± 4.433
0.858 ± 0.034,84.865 ± 6.068
0.847 ± 0.044,84.324 ± 6.257
0.868 ± 0.038,82.703 ± 5.565
0.856 ± 0.043,84.865 ± 4.555
0.864 ± 0.048,85.135 ± 5.572
0.829 ± 0.060,78.378 ± 7.833
0.854 ± 0.050,82.703 ± 5.695
0.854 ± 0.045,84.324 ± 5.241
0.817 ± 0.101,81.081 ± 9.045
0.759 ± 0.112,75.135 ± 12.195
0.758 ± 0.108,75.946 ± 11.173
0.764 ± 0.134,72.432 ± 12.665
0.783 ± 0.133,74.865 ± 12.794
0.732 ± 0.128,72.432 ± 13.119
0.854 ± 0.067,82.432 ± 6.193
0.853 ± 0.055,82.432 ± 7.475
0.846 ± 0.076,83.784 ± 4.835
0.864 ± 0.045,82.973 ± 6.843
0.841 ± 0.064,82.703 ± 6.531
0.859 ± 0.046,84.865 ± 5.695
0.863 ± 0.049,84.324 ± 6.486
0.871 ± 0.043,84.324 ± 6.373
0.854 ± 0.047,85.946 ± 4.804
0.858 ± 0.046,81.892 ± 5.676
0.847 ± 0.031,83.243 ± 5.643
0.859 ± 0.046,84.595 ± 5.412
0.880 ± 0.040,84.324 ± 5.643
0.858 ± 0.048,84.595 ± 6.169
0.856 ± 0.051,85.135 ± 5.701
0.839 ± 0.047,80.811 ± 5.727
0.841 ± 0.056,81.892 ± 6.735
0.842 ± 0.050,82.973 ± 6.735
0.763 ± 0.063,74.054 ± 8.898
0.781 ± 0.058,74.595 ± 7.171
0.786 ± 0.060,73.514 ± 6.019
0.768 ± 0.064,74.324 ± 8.131
0.781 ± 0.057,76.216 ± 5.771
0.756 ± 0.078,75.135 ± 5.771
0.732 ± 0.056,71.081 ± 8.202
0.744 ± 0.056,72.973 ± 9.045
0.758 ± 0.055,74.054 ± 7.272
0.715 ± 0.074,71.622 ± 7.176
0.754 ± 0.067,71.892 ± 8.126
0.754 ± 0.066,71.892 ± 7.068
0.656 ± 0.047,66.486 ± 6.419
0.663 ± 0.040,68.378 ± 8.720
0.675 ± 0.047,68.919 ± 7.475
0.664 ± 0.039,66.486 ± 7.272
0.695 ± 0.061,67.297 ± 8.058
0.708 ± 0.040,68.919 ± 8.040
0.646 ± 0.039,66.757 ± 5.676
0.656 ± 0.044,67.297 ± 5.598
0.654 ± 0.044,67.568 ± 5.921
0.647 ± 0.049,66.216 ± 6.648
0.656 ± 0.046,66.216 ± 6.424
0.656 ± 0.046,66.757 ± 6.515
0.764 ± 0.076,74.865 ± 7.930
0.771 ± 0.082,74.595 ± 5.296
0.792 ± 0.036,76.486 ± 6.286
0.803 ± 0.042,77.568 ± 3.832
0.795 ± 0.057,76.757 ± 4.555
0.795 ± 0.047,77.027 ± 4.720
0.758 ± 0.058,72.162 ± 7.553
0.761 ± 0.064,74.054 ± 8.564
0.786 ± 0.041,76.216 ± 5.099
0.742 ± 0.061,71.622 ± 9.536
0.747 ± 0.052,72.162 ± 9.673
0.764 ± 0.061,74.865 ± 8.022
0.719 ± 0.064,71.351 ± 7.272
0.747 ± 0.051,71.892 ± 7.171
0.759 ± 0.045,73.243 ± 8.326
0.695 ± 0.063,70.000 ± 7.782
0.705 ± 0.067,70.811 ± 8.699
