0.389,34.667
0.392,36.833
0.362,35.167
0.368,36.667
0.389,35.333
0.388,36.333
0.367,34.167
0.362,36.833
0.390,34.667
0.399,35.667
0.362,35.500
0.366,37.667
0.371,34.333
0.397,36.667
0.353,34.333
0.357,33.833
0.383,34.167
0.406,36.833
0.376,33.667
0.364,36.000
0.376,33.500
0.395,36.833
0.340,34.000
0.361,35.667
0.390,34.500
0.385,35.833
0.369,34.167
0.368,36.667
0.389,34.000
0.397,35.500
0.395,35.667
0.361,33.833
0.388,34.833
0.398,38.000
0.376,35.833
0.358,36.000
0.386,35.833
0.407,37.333
0.350,34.167
0.366,36.833
0.389,36.333
0.401,38.000
0.380,34.500
0.376,36.667
0.391,34.833
0.388,38.833
0.359,34.500
0.381,37.167
0.384,35.000
0.410,37.667
0.366,33.333
0.372,35.500
0.368,35.167
0.409,37.500
0.359,33.167
0.364,34.500
0.381,34.833
0.401,35.667
0.349,33.000
0.374,35.000
0.389,36.500
0.395,34.333
0.358,35.333
0.365,34.667
0.399,34.000
0.394,33.333
0.373,33.667
0.380,35.000
0.371,36.167
0.406,35.333
0.382,35.333
0.362,36.667
0.348,33.333
0.357,35.500
0.341,33.167
0.354,33.667
0.399,38.167
0.392,37.000
0.384,36.000
0.389,38.000
0.362,34.333
0.361,37.000
0.344,32.833
0.359,34.167
0.338,32.833
0.365,35.667
0.334,32.500
0.347,34.333
0.400,35.000
0.397,37.500
0.366,34.167
0.395,34.833
0.335,33.167
0.352,34.333
0.345,33.833
0.345,34.500
0.378,35.500
0.356,34.500
0.370,35.167
0.352,35.500
0.405,35.000
0.393,35.000
0.399,35.833
0.402,35.000
0.372,33.667
0.375,35.167
0.371,33.500
0.358,34.000
