0.832,83.167
0.830,83.000
0.841,84.000
0.840,84.167
0.820,82.833
0.830,82.500
0.832,83.500
0.838,84.000
0.830,83.167
0.833,83.333
0.834,83.833
0.828,83.167
0.832,83.500
0.821,83.000
0.842,84.167
0.838,83.667
0.825,83.667
0.825,83.500
0.834,84.000
0.831,83.667
0.831,83.833
0.822,83.500
0.835,84.667
0.832,83.667
0.833,83.833
0.822,83.833
0.847,85.500
0.847,86.000
0.814,83.167
0.819,84.833
0.834,86.000
0.846,84.833
0.818,83.833
0.821,83.000
0.843,86.333
0.849,85.500
0.830,83.833
0.838,83.167
0.839,83.500
0.836,83.333
0.828,83.333
0.820,82.333
0.832,83.500
0.839,84.167
0.829,84.167
0.827,82.667
0.832,83.667
0.836,83.333
0.833,83.667
0.823,83.667
0.832,83.500
0.833,83.000
0.829,84.000
0.818,81.333
0.833,83.500
0.835,84.167
0.833,83.500
0.821,83.500
0.841,84.333
0.830,83.667
0.847,86.500
0.841,85.167
0.846,86.167
0.846,85.167
0.806,84.333
0.801,81.667
0.829,85.333
0.845,85.167
0.841,86.333
0.832,84.667
0.846,86.167
0.849,86.000
0.838,82.667
0.834,82.167
0.846,83.500
0.833,82.167
0.823,81.667
0.806,81.833
0.823,82.333
0.818,81.833
0.838,82.833
0.835,81.833
0.842,82.833
0.833,81.667
0.834,83.833
0.833,83.167
0.841,81.833
0.847,83.833
0.821,83.167
0.840,82.833
0.814,83.167
0.825,83.333
0.834,82.167
0.844,82.333
0.840,83.333
0.831,83.000
0.849,85.833
0.850,83.500
0.848,85.000
0.851,84.333
0.810,82.500
0.816,83.500
0.814,82.333
0.815,82.833
0.843,83.833
0.844,83.667
0.841,84.500
0.842,83.667
