0.660 ± 0.022,66.447 ± 2.557
0.649 ± 0.017,66.513 ± 2.894
0.703 ± 0.045,70.592 ± 4.184
0.682 ± 0.041,69.627 ± 3.785
0.666 ± 0.030,67.763 ± 2.398
0.713 ± 0.021,71.820 ± 1.927
0.709 ± 0.021,71.930 ± 2.597
0.696 ± 0.016,70.373 ± 2.738
0.709 ± 0.033,71.732 ± 3.295
0.692 ± 0.032,70.241 ± 2.580
0.674 ± 0.026,68.399 ± 2.316
0.752 ± 0.017,76.075 ± 0.993
0.743 ± 0.020,75.395 ± 0.945
0.732 ± 0.016,74.496 ± 1.301
0.742 ± 0.010,75.526 ± 1.405
0.738 ± 0.013,74.496 ± 1.461
0.729 ± 0.014,73.443 ± 2.156
0.763 ± 0.020,76.732 ± 1.339
0.754 ± 0.016,76.316 ± 1.241
0.746 ± 0.017,76.338 ± 1.317
0.768 ± 0.017,77.939 ± 1.020
0.764 ± 0.016,77.346 ± 0.971
0.757 ± 0.018,76.930 ± 0.843
0.646 ± 0.026,65.570 ± 3.078
0.652 ± 0.026,66.272 ± 3.181
0.634 ± 0.017,64.211 ± 2.874
0.653 ± 0.054,65.921 ± 5.734
0.645 ± 0.050,65.066 ± 5.221
0.632 ± 0.041,64.254 ± 4.413
0.703 ± 0.022,71.250 ± 2.964
0.690 ± 0.024,69.868 ± 2.843
0.684 ± 0.018,69.013 ± 3.106
0.683 ± 0.047,69.057 ± 4.393
0.679 ± 0.039,68.289 ± 4.844
0.652 ± 0.023,65.504 ± 4.149
0.734 ± 0.016,73.991 ± 2.595
0.733 ± 0.021,73.969 ± 1.894
0.711 ± 0.018,72.083 ± 2.360
0.731 ± 0.014,73.750 ± 2.448
0.720 ± 0.016,72.522 ± 2.241
0.708 ± 0.019,71.404 ± 2.608
0.741 ± 0.017,75.154 ± 1.641
0.736 ± 0.017,74.474 ± 1.551
0.728 ± 0.017,74.561 ± 1.401
0.759 ± 0.017,77.588 ± 1.168
0.756 ± 0.018,76.623 ± 0.895
0.738 ± 0.016,74.956 ± 1.032
0.651 ± 0.025,65.724 ± 3.178
0.653 ± 0.020,66.711 ± 2.879
0.646 ± 0.019,65.461 ± 2.501
0.679 ± 0.039,68.969 ± 4.545
0.670 ± 0.040,67.763 ± 4.400
0.654 ± 0.032,65.987 ± 3.666
0.718 ± 0.023,72.303 ± 2.737
0.702 ± 0.014,71.009 ± 2.984
0.682 ± 0.019,68.794 ± 2.138
0.701 ± 0.033,70.987 ± 3.399
0.684 ± 0.034,68.904 ± 3.552
0.663 ± 0.022,66.557 ± 2.821
0.742 ± 0.019,75.132 ± 1.722
0.737 ± 0.021,74.978 ± 1.171
0.730 ± 0.017,74.254 ± 1.279
0.733 ± 0.011,74.364 ± 2.042
0.729 ± 0.013,73.443 ± 2.263
0.715 ± 0.013,71.886 ± 2.591
0.757 ± 0.017,76.930 ± 1.018
0.756 ± 0.017,76.250 ± 1.135
0.744 ± 0.019,75.658 ± 1.377
0.769 ± 0.018,78.026 ± 1.051
0.760 ± 0.016,77.478 ± 1.083
0.751 ± 0.015,76.228 ± 1.398
0.741 ± 0.023,75.899 ± 1.839
0.730 ± 0.028,74.781 ± 2.597
0.727 ± 0.021,74.057 ± 2.396
0.761 ± 0.017,77.697 ± 0.721
0.757 ± 0.021,77.149 ± 1.421
0.745 ± 0.024,75.877 ± 1.776
0.759 ± 0.018,77.346 ± 1.169
0.755 ± 0.018,76.886 ± 1.237
0.748 ± 0.016,75.811 ± 1.442
0.758 ± 0.021,77.588 ± 0.887
0.753 ± 0.020,76.689 ± 0.941
0.744 ± 0.021,76.184 ± 1.771
0.779 ± 0.017,79.101 ± 0.981
0.773 ± 0.018,78.728 ± 1.110
0.770 ± 0.018,78.596 ± 0.804
0.766 ± 0.015,78.750 ± 0.922
0.764 ± 0.018,78.465 ± 0.746
0.762 ± 0.016,77.807 ± 1.168
0.787 ± 0.016,79.561 ± 0.955
0.785 ± 0.017,79.386 ± 0.936
0.781 ± 0.017,79.364 ± 1.031
0.781 ± 0.017,79.452 ± 0.850
0.781 ± 0.017,79.145 ± 0.958
0.778 ± 0.016,79.364 ± 1.076
0.762 ± 0.015,78.224 ± 0.951
0.749 ± 0.033,77.149 ± 2.963
0.754 ± 0.017,76.996 ± 1.303
0.762 ± 0.014,77.939 ± 0.702
0.759 ± 0.015,77.675 ± 1.087
0.760 ± 0.016,77.390 ± 1.261
0.757 ± 0.019,77.741 ± 1.488
0.749 ± 0.020,76.667 ± 1.986
0.742 ± 0.021,75.439 ± 1.827
