0.680 ± 0.033,68.969 ± 4.658
0.678 ± 0.029,68.969 ± 4.699
0.689 ± 0.048,69.956 ± 4.031
0.674 ± 0.040,68.333 ± 4.117
0.666 ± 0.034,67.346 ± 3.492
0.682 ± 0.018,69.079 ± 3.104
0.696 ± 0.016,70.285 ± 3.097
0.688 ± 0.012,69.671 ± 2.954
0.669 ± 0.052,67.390 ± 5.533
0.671 ± 0.036,67.544 ± 5.189
0.664 ± 0.040,66.908 ± 5.062
0.704 ± 0.016,72.237 ± 2.102
0.702 ± 0.011,71.425 ± 1.744
0.699 ± 0.014,71.096 ± 1.757
0.672 ± 0.022,68.465 ± 3.356
0.670 ± 0.010,67.544 ± 3.054
0.658 ± 0.016,66.162 ± 3.630
0.723 ± 0.014,73.618 ± 1.569
0.719 ± 0.019,73.289 ± 1.690
0.715 ± 0.011,72.390 ± 2.324
0.711 ± 0.010,71.623 ± 1.779
0.710 ± 0.011,72.171 ± 1.090
0.695 ± 0.013,70.461 ± 1.784
0.654 ± 0.035,65.724 ± 4.741
0.656 ± 0.031,66.579 ± 4.370
0.660 ± 0.026,66.930 ± 4.316
0.628 ± 0.095,62.982 ± 9.651
0.622 ± 0.084,63.268 ± 8.103
0.636 ± 0.037,63.838 ± 3.855
0.677 ± 0.025,68.706 ± 3.765
0.685 ± 0.025,69.452 ± 4.756
0.686 ± 0.034,69.912 ± 4.099
0.659 ± 0.044,66.513 ± 5.399
0.660 ± 0.031,66.908 ± 4.319
0.647 ± 0.025,65.219 ± 3.823
0.688 ± 0.022,69.298 ± 3.104
0.676 ± 0.020,68.026 ± 3.015
0.678 ± 0.017,69.035 ± 2.640
0.686 ± 0.028,68.355 ± 4.161
0.667 ± 0.030,66.996 ± 4.792
0.664 ± 0.021,66.798 ± 3.807
0.691 ± 0.027,68.618 ± 3.714
0.684 ± 0.025,69.583 ± 3.385
0.674 ± 0.019,68.728 ± 3.216
0.709 ± 0.017,71.623 ± 2.812
0.688 ± 0.028,69.057 ± 3.984
0.685 ± 0.032,69.101 ± 3.401
0.654 ± 0.046,65.789 ± 5.508
0.665 ± 0.044,67.632 ± 5.566
0.673 ± 0.021,68.114 ± 2.015
0.660 ± 0.066,66.820 ± 7.441
0.661 ± 0.040,66.689 ± 4.664
0.661 ± 0.030,65.921 ± 3.472
0.675 ± 0.023,69.167 ± 3.187
0.681 ± 0.027,69.211 ± 3.899
0.689 ± 0.020,69.518 ± 3.445
0.656 ± 0.060,66.009 ± 6.648
0.650 ± 0.033,65.899 ± 4.799
0.646 ± 0.035,64.868 ± 4.568
0.699 ± 0.012,71.382 ± 1.677
0.695 ± 0.015,70.219 ± 3.104
0.696 ± 0.015,70.570 ± 2.242
0.670 ± 0.024,67.105 ± 3.973
0.662 ± 0.022,66.864 ± 3.937
0.661 ± 0.023,66.645 ± 4.278
0.720 ± 0.016,73.553 ± 1.429
0.723 ± 0.015,72.895 ± 1.210
0.718 ± 0.011,72.434 ± 2.099
0.711 ± 0.013,72.083 ± 1.919
0.704 ± 0.013,71.162 ± 1.570
0.688 ± 0.009,70.022 ± 1.670
0.689 ± 0.048,69.759 ± 5.248
0.674 ± 0.043,68.860 ± 4.406
0.673 ± 0.025,68.662 ± 3.201
0.690 ± 0.103,70.329 ± 10.283
0.685 ± 0.084,70.088 ± 8.219
0.698 ± 0.074,70.570 ± 7.489
0.710 ± 0.027,72.105 ± 3.787
0.702 ± 0.027,71.272 ± 3.235
0.695 ± 0.019,71.469 ± 1.769
0.718 ± 0.053,73.728 ± 4.544
0.705 ± 0.045,72.434 ± 4.057
0.672 ± 0.041,68.794 ± 4.413
0.733 ± 0.020,75.022 ± 2.011
0.725 ± 0.012,73.860 ± 1.376
0.718 ± 0.013,72.982 ± 1.670
0.728 ± 0.034,74.671 ± 2.973
0.717 ± 0.035,73.509 ± 3.344
0.701 ± 0.027,72.149 ± 2.849
0.757 ± 0.016,76.864 ± 1.349
0.751 ± 0.012,76.557 ± 0.998
0.743 ± 0.009,76.053 ± 1.289
0.747 ± 0.019,76.162 ± 1.468
0.742 ± 0.016,75.855 ± 1.540
0.730 ± 0.015,74.539 ± 2.170
0.678 ± 0.072,69.254 ± 7.996
0.695 ± 0.058,70.044 ± 7.086
0.707 ± 0.068,71.206 ± 7.658
0.638 ± 0.097,64.759 ± 11.258
0.671 ± 0.115,67.851 ± 12.480
0.710 ± 0.106,71.908 ± 10.889
0.713 ± 0.044,72.697 ± 4.900
0.713 ± 0.041,72.544 ± 5.098
0.730 ± 0.038,74.254 ± 4.254
