0.814 ± 0.110,82.432 ± 9.065
0.803 ± 0.106,81.081 ± 8.547
0.800 ± 0.117,80.811 ± 9.161
0.798 ± 0.116,80.541 ± 8.783
0.849 ± 0.041,84.595 ± 4.531
0.858 ± 0.051,81.892 ± 4.689
0.859 ± 0.048,84.595 ± 5.676
0.846 ± 0.048,84.054 ± 2.550
0.812 ± 0.115,81.081 ± 9.205
0.849 ± 0.046,83.243 ± 4.324
0.814 ± 0.106,80.811 ± 7.782
0.866 ± 0.043,84.595 ± 5.275
0.861 ± 0.050,84.865 ± 4.391
0.849 ± 0.043,84.595 ± 4.366
0.849 ± 0.047,82.162 ± 5.156
0.841 ± 0.050,84.054 ± 4.902
0.846 ± 0.048,81.892 ± 4.842
0.849 ± 0.058,83.514 ± 4.090
0.846 ± 0.053,82.162 ± 4.712
0.839 ± 0.064,84.595 ± 3.832
0.834 ± 0.058,81.351 ± 5.049
0.829 ± 0.044,80.541 ± 4.650
0.829 ± 0.054,81.622 ± 4.804
0.810 ± 0.116,81.081 ± 9.205
0.788 ± 0.110,79.730 ± 9.688
0.798 ± 0.113,80.541 ± 8.866
0.800 ± 0.121,79.459 ± 9.982
0.793 ± 0.114,80.541 ± 9.189
0.776 ± 0.114,76.757 ± 12.746
0.834 ± 0.090,84.324 ± 6.373
0.858 ± 0.045,85.405 ± 4.045
0.829 ± 0.097,84.865 ± 7.068
0.827 ± 0.098,82.703 ± 7.470
0.847 ± 0.044,84.054 ± 6.447
0.815 ± 0.047,81.351 ± 6.447
0.861 ± 0.043,86.486 ± 5.128
0.866 ± 0.048,84.865 ± 4.391
0.863 ± 0.050,85.135 ± 4.054
0.836 ± 0.039,83.784 ± 6.509
0.842 ± 0.044,84.054 ± 5.466
0.825 ± 0.035,83.784 ± 6.509
0.861 ± 0.047,84.595 ± 5.275
0.866 ± 0.046,85.405 ± 4.045
0.847 ± 0.047,84.054 ± 4.265
0.844 ± 0.045,83.243 ± 4.954
0.837 ± 0.046,81.081 ± 5.128
0.839 ± 0.045,82.162 ± 5.156
0.808 ± 0.120,80.811 ± 8.919
0.790 ± 0.115,77.838 ± 9.654
0.798 ± 0.114,82.432 ± 9.985
0.795 ± 0.114,80.541 ± 9.268
0.792 ± 0.114,80.270 ± 9.673
0.790 ± 0.117,79.730 ± 8.653
0.836 ± 0.091,82.703 ± 6.859
0.861 ± 0.050,85.676 ± 3.832
0.839 ± 0.046,84.324 ± 4.954
0.856 ± 0.053,84.054 ± 5.192
0.839 ± 0.050,83.784 ± 5.669
0.814 ± 0.118,81.351 ± 7.967
0.861 ± 0.054,84.054 ± 4.433
0.858 ± 0.047,85.676 ± 4.842
0.853 ± 0.046,84.324 ± 4.152
0.851 ± 0.047,84.054 ± 5.853
0.839 ± 0.054,81.892 ± 4.689
0.841 ± 0.052,83.514 ± 4.090
0.854 ± 0.052,85.135 ± 3.870
0.842 ± 0.058,82.973 ± 4.689
0.834 ± 0.049,84.595 ± 3.636
0.831 ± 0.042,80.811 ± 4.265
0.831 ± 0.053,80.270 ± 5.545
0.829 ± 0.052,80.541 ± 4.650
0.741 ± 0.083,72.703 ± 9.000
0.759 ± 0.055,74.324 ± 7.176
0.724 ± 0.109,72.432 ± 10.170
0.731 ± 0.101,72.162 ± 7.838
0.727 ± 0.095,72.432 ± 7.529
0.753 ± 0.064,73.784 ± 5.275
0.768 ± 0.063,74.324 ± 7.856
0.761 ± 0.075,74.054 ± 8.304
0.753 ± 0.072,72.973 ± 8.547
0.759 ± 0.076,74.324 ± 9.304
0.753 ± 0.085,74.865 ± 8.636
0.756 ± 0.059,74.595 ± 8.564
0.758 ± 0.071,74.324 ± 8.396
0.753 ± 0.057,73.784 ± 5.803
0.753 ± 0.064,74.595 ± 6.068
0.758 ± 0.063,75.135 ± 8.090
0.754 ± 0.072,74.595 ± 8.564
0.751 ± 0.063,74.054 ± 8.216
0.751 ± 0.068,74.595 ± 7.068
0.758 ± 0.069,74.865 ± 7.553
0.754 ± 0.072,75.135 ± 7.815
0.754 ± 0.071,74.865 ± 8.113
0.754 ± 0.057,75.135 ± 7.999
0.749 ± 0.060,74.595 ± 6.859
0.754 ± 0.100,74.595 ± 7.068
0.739 ± 0.100,72.973 ± 8.108
0.749 ± 0.069,73.784 ± 9.823
0.751 ± 0.108,74.324 ± 6.757
0.720 ± 0.110,71.081 ± 10.401
0.763 ± 0.069,75.405 ± 6.885
0.797 ± 0.044,77.027 ± 4.563
0.768 ± 0.066,74.324 ± 8.568
0.790 ± 0.053,77.297 ± 4.045
0.759 ± 0.080,75.676 ± 9.045
0.763 ± 0.070,75.405 ± 9.081
0.756 ± 0.067,74.865 ± 8.465
0.800 ± 0.051,77.027 ± 4.230
0.795 ± 0.053,77.568 ± 4.366
0.786 ± 0.052,77.297 ± 4.712
0.756 ± 0.087,75.405 ± 9.778
0.761 ± 0.077,75.405 ± 8.837
0.763 ± 0.074,74.324 ± 8.568
0.764 ± 0.067,75.405 ± 7.967
0.778 ± 0.056,75.405 ± 6.885
0.775 ± 0.057,74.324 ± 8.220
0.766 ± 0.063,76.216 ± 8.948
0.768 ± 0.077,75.405 ± 8.919
0.761 ± 0.064,75.676 ± 8.882
0.758 ± 0.074,73.243 ± 8.919
0.746 ± 0.061,73.784 ± 6.169
0.764 ± 0.060,74.054 ± 5.013
0.742 ± 0.081,71.622 ± 8.903
0.756 ± 0.074,73.514 ± 7.529
0.729 ± 0.077,71.081 ± 9.129
0.769 ± 0.074,74.324 ± 7.763
