0.856 ± 0.043,86.667 ± 3.902
0.853 ± 0.046,86.078 ± 2.549
0.854 ± 0.050,86.275 ± 3.396
0.848 ± 0.046,86.471 ± 2.967
0.839 ± 0.048,85.098 ± 3.063
0.858 ± 0.035,87.843 ± 3.257
0.850 ± 0.040,86.275 ± 3.616
0.856 ± 0.042,86.471 ± 3.447
0.853 ± 0.050,86.667 ± 3.012
0.840 ± 0.039,86.078 ± 3.557
0.841 ± 0.042,84.902 ± 2.915
0.859 ± 0.041,86.667 ± 3.902
0.849 ± 0.038,86.275 ± 3.616
0.853 ± 0.047,85.882 ± 2.601
0.856 ± 0.043,86.471 ± 3.094
0.854 ± 0.042,85.490 ± 3.186
0.841 ± 0.049,86.078 ± 2.696
0.865 ± 0.037,86.863 ± 3.402
0.858 ± 0.047,87.451 ± 3.842
0.854 ± 0.043,86.471 ± 3.557
0.860 ± 0.045,86.471 ± 3.663
0.854 ± 0.040,87.059 ± 3.186
0.838 ± 0.051,86.275 ± 2.631
0.865 ± 0.043,86.078 ± 3.663
0.851 ± 0.039,86.078 ± 3.767
0.851 ± 0.048,85.490 ± 3.063
0.841 ± 0.047,85.294 ± 3.424
0.851 ± 0.048,85.882 ± 2.601
0.839 ± 0.045,84.902 ± 2.638
0.854 ± 0.049,86.667 ± 3.257
0.855 ± 0.051,85.490 ± 3.529
0.855 ± 0.041,85.686 ± 4.300
0.845 ± 0.050,86.667 ± 4.094
0.852 ± 0.047,85.098 ± 3.063
0.839 ± 0.047,84.902 ± 2.638
0.856 ± 0.044,86.275 ± 4.018
0.855 ± 0.037,86.667 ± 4.367
0.845 ± 0.040,86.078 ± 4.246
0.849 ± 0.053,85.882 ± 3.137
0.846 ± 0.046,86.667 ± 3.902
0.843 ± 0.042,85.294 ± 2.941
0.856 ± 0.046,85.882 ± 2.601
0.851 ± 0.040,86.275 ± 3.822
0.843 ± 0.048,85.686 ± 2.780
0.851 ± 0.042,86.863 ± 3.044
0.851 ± 0.043,85.882 ± 3.137
0.849 ± 0.041,85.490 ± 2.935
0.861 ± 0.045,85.686 ± 4.210
0.847 ± 0.041,86.275 ± 3.720
0.846 ± 0.042,85.882 ± 3.700
0.852 ± 0.050,86.667 ± 3.137
0.850 ± 0.046,86.078 ± 3.663
0.839 ± 0.040,85.098 ± 2.935
0.865 ± 0.041,86.471 ± 3.767
0.850 ± 0.046,86.863 ± 3.168
0.849 ± 0.043,85.294 ± 2.667
0.861 ± 0.046,87.255 ± 3.535
0.846 ± 0.050,86.078 ± 3.663
0.838 ± 0.046,86.471 ± 2.967
0.854 ± 0.043,86.667 ± 3.700
0.860 ± 0.040,85.490 ± 4.132
0.848 ± 0.045,86.471 ± 3.333
0.857 ± 0.047,87.059 ± 3.842
0.854 ± 0.047,86.275 ± 3.396
0.842 ± 0.047,85.882 ± 3.012
0.863 ± 0.043,86.863 ± 3.402
0.861 ± 0.036,87.451 ± 3.186
0.855 ± 0.035,86.667 ± 3.486
0.851 ± 0.047,87.451 ± 4.224
0.854 ± 0.045,86.275 ± 3.038
0.841 ± 0.048,85.294 ± 3.424
0.785 ± 0.039,79.020 ± 4.389
0.789 ± 0.032,80.000 ± 3.137
0.791 ± 0.035,80.588 ± 3.216
0.785 ± 0.032,79.608 ± 3.741
0.790 ± 0.033,80.196 ± 3.216
0.784 ± 0.034,79.412 ± 4.042
0.789 ± 0.036,80.000 ± 5.098
0.789 ± 0.036,79.412 ± 4.743
0.801 ± 0.030,80.588 ± 3.557
0.789 ± 0.031,79.804 ± 3.402
0.783 ± 0.032,80.000 ± 4.454
0.790 ± 0.033,80.000 ± 3.373
0.786 ± 0.031,79.412 ± 5.132
0.782 ± 0.039,80.000 ± 4.540
0.791 ± 0.035,81.176 ± 4.038
0.785 ± 0.030,80.196 ± 3.447
0.790 ± 0.026,80.196 ± 4.061
0.793 ± 0.032,80.980 ± 3.926
0.785 ± 0.038,79.804 ± 4.300
0.773 ± 0.038,79.608 ± 4.819
0.789 ± 0.039,80.392 ± 3.616
0.786 ± 0.030,79.608 ± 4.132
0.787 ± 0.034,80.196 ± 3.663
0.784 ± 0.030,80.000 ± 4.454
0.804 ± 0.029,80.392 ± 3.281
