0.342 ± 0.004,33.513 ± 0.813
0.348 ± 0.005,33.730 ± 0.944
0.351 ± 0.005,34.513 ± 0.714
0.347 ± 0.006,34.039 ± 0.699
0.349 ± 0.006,34.395 ± 0.623
0.349 ± 0.008,34.546 ± 0.759
0.327 ± 0.007,31.612 ± 1.008
0.332 ± 0.009,32.480 ± 1.094
0.337 ± 0.007,32.928 ± 1.165
0.338 ± 0.007,33.125 ± 0.774
0.340 ± 0.007,33.303 ± 0.700
0.344 ± 0.007,33.658 ± 0.827
0.314 ± 0.005,31.092 ± 1.209
0.317 ± 0.006,31.461 ± 1.211
0.325 ± 0.007,32.105 ± 0.913
0.316 ± 0.007,31.408 ± 0.738
0.319 ± 0.005,31.487 ± 0.976
0.326 ± 0.010,31.934 ± 0.979
0.306 ± 0.006,30.125 ± 1.093
0.310 ± 0.005,30.395 ± 1.124
0.313 ± 0.005,31.039 ± 1.089
0.304 ± 0.006,29.882 ± 1.109
0.305 ± 0.007,30.237 ± 1.240
0.310 ± 0.006,30.664 ± 1.184
0.344 ± 0.004,33.461 ± 0.916
0.346 ± 0.004,33.862 ± 0.765
0.352 ± 0.006,34.401 ± 0.875
0.348 ± 0.006,34.158 ± 0.790
0.349 ± 0.008,34.276 ± 0.909
0.351 ± 0.008,34.592 ± 1.036
0.330 ± 0.008,32.546 ± 0.958
0.334 ± 0.007,33.033 ± 0.999
0.341 ± 0.005,33.447 ± 0.807
0.337 ± 0.007,33.039 ± 0.527
0.342 ± 0.006,33.276 ± 0.713
0.344 ± 0.006,33.704 ± 0.630
0.318 ± 0.006,31.533 ± 0.980
0.324 ± 0.008,31.908 ± 0.986
0.331 ± 0.005,32.184 ± 1.014
0.320 ± 0.005,31.507 ± 0.680
0.324 ± 0.005,31.868 ± 0.759
0.331 ± 0.005,32.303 ± 0.963
0.313 ± 0.007,30.770 ± 1.307
0.316 ± 0.005,31.138 ± 1.120
0.320 ± 0.005,31.599 ± 1.223
0.307 ± 0.007,30.474 ± 0.889
0.313 ± 0.006,30.974 ± 1.083
0.318 ± 0.005,31.428 ± 0.961
0.343 ± 0.005,33.461 ± 0.783
0.349 ± 0.003,33.750 ± 0.755
0.349 ± 0.006,34.414 ± 0.801
0.344 ± 0.005,33.934 ± 0.672
0.348 ± 0.006,34.283 ± 0.776
0.349 ± 0.008,34.691 ± 0.488
0.328 ± 0.008,32.053 ± 0.677
0.334 ± 0.008,32.454 ± 0.951
0.338 ± 0.006,33.184 ± 0.906
0.339 ± 0.008,33.020 ± 0.695
0.343 ± 0.005,33.441 ± 0.684
0.346 ± 0.005,33.737 ± 0.934
0.316 ± 0.009,31.158 ± 1.161
0.318 ± 0.007,31.211 ± 0.996
0.325 ± 0.003,31.849 ± 1.052
0.316 ± 0.008,31.447 ± 1.092
0.318 ± 0.006,31.632 ± 0.756
0.325 ± 0.007,32.099 ± 0.963
0.307 ± 0.005,30.191 ± 0.906
0.310 ± 0.005,30.316 ± 1.185
0.315 ± 0.003,31.072 ± 1.182
0.306 ± 0.006,29.967 ± 1.317
0.309 ± 0.006,30.553 ± 1.122
0.312 ± 0.005,30.882 ± 1.011
0.349 ± 0.006,34.158 ± 0.740
0.352 ± 0.008,34.783 ± 0.760
0.353 ± 0.009,34.796 ± 0.843
0.349 ± 0.007,34.118 ± 0.565
0.352 ± 0.006,34.553 ± 0.826
0.351 ± 0.007,34.586 ± 0.694
0.346 ± 0.007,33.849 ± 0.790
0.346 ± 0.007,33.526 ± 0.907
0.351 ± 0.007,34.322 ± 0.511
0.346 ± 0.007,33.783 ± 0.830
0.347 ± 0.007,34.132 ± 0.820
0.348 ± 0.008,34.243 ± 0.836
0.334 ± 0.007,32.553 ± 1.020
0.339 ± 0.007,33.178 ± 0.810
0.343 ± 0.005,33.783 ± 0.962
0.334 ± 0.008,32.908 ± 1.043
0.336 ± 0.007,33.072 ± 0.914
0.341 ± 0.008,33.349 ± 0.725
0.325 ± 0.010,32.099 ± 0.805
0.325 ± 0.008,32.178 ± 1.256
0.333 ± 0.008,33.158 ± 0.908
0.322 ± 0.007,31.730 ± 1.257
0.325 ± 0.006,31.888 ± 0.964
0.330 ± 0.006,32.309 ± 1.049
0.352 ± 0.012,34.329 ± 0.930
0.355 ± 0.009,34.605 ± 0.841
0.358 ± 0.010,34.579 ± 0.653
0.348 ± 0.008,34.151 ± 0.761
0.354 ± 0.008,34.395 ± 0.860
0.353 ± 0.008,34.507 ± 0.841
0.349 ± 0.007,33.862 ± 0.954
0.352 ± 0.008,34.211 ± 0.971
0.354 ± 0.007,34.566 ± 0.970
0.348 ± 0.007,34.072 ± 0.728
0.351 ± 0.007,34.368 ± 0.870
0.352 ± 0.009,34.638 ± 0.592
0.344 ± 0.008,33.612 ± 0.636
0.348 ± 0.004,33.664 ± 0.773
0.352 ± 0.007,33.954 ± 0.870
0.342 ± 0.006,33.388 ± 0.914
0.343 ± 0.005,33.691 ± 0.693
0.347 ± 0.007,34.039 ± 0.730
0.336 ± 0.006,33.171 ± 0.862
0.337 ± 0.006,33.230 ± 0.726
0.341 ± 0.006,33.974 ± 0.998
0.329 ± 0.006,32.461 ± 0.586
0.332 ± 0.007,32.901 ± 0.906
0.338 ± 0.004,33.237 ± 0.846
0.353 ± 0.009,34.013 ± 0.766
0.354 ± 0.008,34.658 ± 0.848
0.355 ± 0.009,34.638 ± 0.701
0.348 ± 0.007,34.309 ± 0.743
0.351 ± 0.007,34.309 ± 0.714
0.353 ± 0.009,34.934 ± 0.759
0.347 ± 0.005,33.836 ± 0.615
0.349 ± 0.006,33.855 ± 0.792
0.353 ± 0.008,34.520 ± 1.063
0.347 ± 0.008,33.908 ± 0.747
0.349 ± 0.007,34.079 ± 0.654
0.351 ± 0.008,34.355 ± 0.832
0.338 ± 0.010,32.842 ± 0.910
0.338 ± 0.007,33.421 ± 0.701
0.344 ± 0.007,33.546 ± 0.853
0.339 ± 0.009,33.007 ± 0.882
0.341 ± 0.008,33.493 ± 0.816
0.345 ± 0.006,33.566 ± 0.597
0.329 ± 0.007,32.164 ± 1.040
0.332 ± 0.008,32.559 ± 1.069
0.334 ± 0.006,32.816 ± 0.884
0.323 ± 0.006,31.855 ± 0.770
0.327 ± 0.005,32.145 ± 0.805
0.332 ± 0.008,32.632 ± 0.821
0.360 ± 0.008,35.151 ± 0.901
0.361 ± 0.009,35.237 ± 0.949
0.363 ± 0.009,35.395 ± 0.969
0.356 ± 0.009,34.947 ± 0.881
0.357 ± 0.009,34.868 ± 0.500
0.358 ± 0.010,35.020 ± 1.041
0.355 ± 0.006,34.658 ± 0.826
0.358 ± 0.007,34.947 ± 0.812
0.361 ± 0.009,35.072 ± 1.010
0.354 ± 0.009,34.526 ± 0.902
0.357 ± 0.008,34.934 ± 0.844
0.358 ± 0.009,35.059 ± 1.068
0.354 ± 0.006,34.336 ± 0.906
0.356 ± 0.006,34.138 ± 0.381
0.361 ± 0.008,34.618 ± 0.872
0.350 ± 0.006,34.428 ± 1.120
0.354 ± 0.008,34.467 ± 0.985
0.356 ± 0.009,34.612 ± 0.693
