0.643 ± 0.048,64.198 ± 5.483
0.649 ± 0.039,64.457 ± 4.457
0.659 ± 0.024,65.821 ± 3.117
0.651 ± 0.053,64.553 ± 5.934
0.674 ± 0.061,67.099 ± 7.190
0.698 ± 0.010,69.914 ± 2.241
0.647 ± 0.031,64.515 ± 3.817
0.648 ± 0.020,64.870 ± 2.708
0.652 ± 0.020,64.976 ± 2.216
0.662 ± 0.039,65.735 ± 4.629
0.669 ± 0.033,66.359 ± 3.788
0.667 ± 0.032,66.177 ± 3.372
0.672 ± 0.021,67.233 ± 2.383
0.669 ± 0.013,66.820 ± 2.482
0.661 ± 0.008,65.889 ± 2.205
0.677 ± 0.031,67.397 ± 3.505
0.670 ± 0.025,66.369 ± 3.445
0.661 ± 0.024,65.869 ± 3.397
0.689 ± 0.014,68.626 ± 2.072
0.685 ± 0.010,68.300 ± 1.817
0.683 ± 0.011,68.060 ± 1.701
0.684 ± 0.016,68.280 ± 2.341
0.682 ± 0.014,67.896 ± 1.778
0.674 ± 0.012,67.358 ± 2.220
0.611 ± 0.051,61.114 ± 6.172
0.632 ± 0.053,63.266 ± 6.228
0.624 ± 0.036,62.065 ± 4.217
0.608 ± 0.052,61.451 ± 5.933
0.623 ± 0.058,62.574 ± 6.882
0.638 ± 0.071,63.900 ± 8.004
0.671 ± 0.046,66.801 ± 5.474
0.650 ± 0.045,64.899 ± 5.285
0.672 ± 0.042,66.494 ± 4.990
0.634 ± 0.065,63.208 ± 6.900
0.644 ± 0.061,64.140 ± 7.217
0.646 ± 0.052,64.313 ± 6.438
0.732 ± 0.010,72.776 ± 2.001
0.727 ± 0.012,72.305 ± 2.222
0.708 ± 0.021,70.586 ± 2.133
0.708 ± 0.048,70.231 ± 5.654
0.697 ± 0.052,69.520 ± 5.408
0.674 ± 0.052,66.888 ± 6.587
0.729 ± 0.011,72.546 ± 2.141
0.730 ± 0.008,72.488 ± 2.226
0.721 ± 0.011,71.662 ± 2.945
0.734 ± 0.009,72.805 ± 2.028
0.731 ± 0.008,72.824 ± 2.450
0.706 ± 0.033,70.077 ± 3.260
0.632 ± 0.037,62.613 ± 4.641
0.651 ± 0.034,64.793 ± 4.420
0.657 ± 0.039,65.677 ± 4.535
0.614 ± 0.048,61.460 ± 5.744
0.657 ± 0.043,65.110 ± 5.056
0.674 ± 0.048,66.724 ± 5.819
0.659 ± 0.044,65.533 ± 4.896
0.654 ± 0.035,64.457 ± 4.248
0.656 ± 0.035,65.178 ± 3.747
0.655 ± 0.036,65.456 ± 4.749
0.645 ± 0.045,63.871 ± 5.467
0.672 ± 0.033,66.907 ± 3.251
0.677 ± 0.034,67.281 ± 3.947
0.672 ± 0.030,66.936 ± 3.061
0.664 ± 0.029,65.725 ± 3.235
0.689 ± 0.036,68.232 ± 4.355
0.664 ± 0.033,66.119 ± 3.496
0.661 ± 0.030,65.648 ± 3.502
0.691 ± 0.025,68.444 ± 2.268
0.683 ± 0.023,68.329 ± 1.655
0.673 ± 0.009,67.233 ± 2.189
0.705 ± 0.031,69.875 ± 3.425
0.698 ± 0.026,69.222 ± 3.253
0.677 ± 0.027,67.080 ± 3.242
0.640 ± 0.054,63.996 ± 6.289
0.677 ± 0.014,67.195 ± 2.650
0.685 ± 0.013,68.559 ± 2.793
0.634 ± 0.062,63.602 ± 6.410
0.666 ± 0.053,66.282 ± 5.948
0.705 ± 0.011,70.010 ± 1.900
0.669 ± 0.024,66.878 ± 3.398
0.673 ± 0.019,67.061 ± 2.799
0.677 ± 0.018,67.406 ± 2.820
0.682 ± 0.021,68.156 ± 2.344
0.696 ± 0.011,69.203 ± 2.088
0.697 ± 0.021,69.510 ± 2.702
0.674 ± 0.016,67.291 ± 2.408
0.682 ± 0.013,68.060 ± 2.620
0.676 ± 0.010,67.839 ± 2.575
0.695 ± 0.010,69.356 ± 2.448
0.695 ± 0.014,69.308 ± 2.858
0.692 ± 0.011,68.828 ± 1.977
0.685 ± 0.011,68.367 ± 1.691
0.683 ± 0.012,68.242 ± 2.037
0.682 ± 0.010,67.973 ± 2.132
0.701 ± 0.009,70.106 ± 1.587
0.698 ± 0.010,69.385 ± 1.992
0.692 ± 0.010,68.886 ± 2.218
0.593 ± 0.046,59.452 ± 5.891
0.611 ± 0.024,61.441 ± 3.446
0.639 ± 0.045,63.718 ± 5.502
0.607 ± 0.070,60.394 ± 8.044
0.600 ± 0.072,60.442 ± 7.730
0.603 ± 0.061,60.740 ± 7.005
0.654 ± 0.038,64.870 ± 4.995
0.667 ± 0.035,66.158 ± 4.064
0.674 ± 0.036,67.099 ± 4.916
0.616 ± 0.017,61.671 ± 2.713
0.646 ± 0.037,64.659 ± 5.253
0.649 ± 0.031,64.227 ± 3.983
0.695 ± 0.030,69.001 ± 4.539
0.703 ± 0.015,70.365 ± 2.596
0.704 ± 0.019,70.144 ± 2.349
0.699 ± 0.048,69.433 ± 5.607
0.683 ± 0.036,68.069 ± 4.682
0.674 ± 0.039,67.157 ± 4.595
0.719 ± 0.008,71.796 ± 2.248
0.716 ± 0.006,71.633 ± 2.314
0.716 ± 0.007,71.854 ± 2.145
0.726 ± 0.009,72.382 ± 1.930
0.723 ± 0.009,72.238 ± 2.289
0.713 ± 0.011,71.239 ± 2.527
0.609 ± 0.053,61.201 ± 6.165
0.653 ± 0.053,65.014 ± 6.170
0.687 ± 0.021,68.098 ± 3.314
0.610 ± 0.056,60.663 ± 6.416
0.637 ± 0.059,63.170 ± 6.971
0.690 ± 0.018,68.501 ± 2.848
0.661 ± 0.029,65.783 ± 4.184
0.673 ± 0.028,66.859 ± 3.472
0.687 ± 0.021,67.877 ± 3.830
0.650 ± 0.031,64.813 ± 4.558
0.672 ± 0.016,67.080 ± 2.934
0.698 ± 0.015,69.126 ± 2.123
0.672 ± 0.024,66.926 ± 3.041
0.683 ± 0.018,68.271 ± 3.506
0.690 ± 0.018,68.617 ± 2.386
0.673 ± 0.031,66.974 ± 4.519
0.678 ± 0.023,67.771 ± 2.678
0.692 ± 0.014,68.549 ± 2.207
0.676 ± 0.019,67.666 ± 2.442
0.690 ± 0.021,68.626 ± 2.925
0.695 ± 0.009,69.385 ± 2.484
0.697 ± 0.017,69.270 ± 1.736
0.699 ± 0.012,69.587 ± 1.818
0.697 ± 0.020,69.059 ± 2.419
0.594 ± 0.035,59.731 ± 3.898
0.617 ± 0.038,61.835 ± 3.703
0.659 ± 0.035,65.572 ± 3.920
0.595 ± 0.064,59.568 ± 6.407
0.586 ± 0.064,58.482 ± 6.495
0.638 ± 0.079,64.227 ± 7.728
0.617 ± 0.030,61.787 ± 3.415
0.649 ± 0.019,64.938 ± 2.508
0.676 ± 0.017,67.214 ± 2.568
0.673 ± 0.027,67.137 ± 4.051
0.691 ± 0.017,68.463 ± 2.766
0.706 ± 0.012,70.336 ± 2.182
0.631 ± 0.021,63.333 ± 2.315
0.646 ± 0.015,64.438 ± 2.406
0.666 ± 0.013,66.763 ± 2.597
0.686 ± 0.013,68.002 ± 2.684
0.694 ± 0.018,69.289 ± 2.879
0.700 ± 0.012,69.664 ± 2.712
0.640 ± 0.014,63.929 ± 1.520
0.647 ± 0.015,64.515 ± 2.311
0.660 ± 0.011,65.476 ± 2.277
0.682 ± 0.011,67.915 ± 2.177
0.689 ± 0.012,68.732 ± 2.260
0.695 ± 0.010,69.049 ± 2.392
0.506 ± 0.087,51.374 ± 9.660
0.573 ± 0.026,57.695 ± 3.784
0.621 ± 0.034,62.354 ± 4.154
0.524 ± 0.088,52.719 ± 8.825
0.569 ± 0.046,56.859 ± 5.444
0.582 ± 0.055,58.492 ± 5.062
0.594 ± 0.037,59.606 ± 4.546
0.623 ± 0.030,62.392 ± 3.534
0.640 ± 0.059,64.246 ± 5.455
0.608 ± 0.044,60.711 ± 4.648
0.646 ± 0.041,64.669 ± 4.280
0.678 ± 0.028,67.704 ± 3.845
0.636 ± 0.030,63.602 ± 3.649
0.677 ± 0.024,67.349 ± 2.625
0.700 ± 0.019,69.827 ± 1.854
0.683 ± 0.020,67.800 ± 2.934
0.701 ± 0.022,70.019 ± 3.513
0.706 ± 0.017,70.826 ± 2.031
0.686 ± 0.015,68.425 ± 2.145
0.706 ± 0.013,70.480 ± 1.719
0.713 ± 0.014,70.874 ± 1.637
0.708 ± 0.011,70.605 ± 1.998
0.710 ± 0.009,71.326 ± 1.962
0.719 ± 0.011,72.017 ± 2.018
0.601 ± 0.040,59.962 ± 4.803
0.596 ± 0.105,59.232 ± 12.244
0.641 ± 0.051,64.428 ± 3.967
0.550 ± 0.064,55.005 ± 7.035
0.580 ± 0.109,57.032 ± 12.481
0.597 ± 0.065,60.259 ± 6.432
0.627 ± 0.024,62.574 ± 3.030
0.651 ± 0.029,64.774 ± 3.446
0.662 ± 0.046,66.033 ± 5.155
0.645 ± 0.053,64.649 ± 6.258
0.691 ± 0.022,68.713 ± 3.158
0.700 ± 0.018,69.769 ± 2.813
0.625 ± 0.019,62.747 ± 2.633
0.651 ± 0.018,64.832 ± 2.922
0.672 ± 0.016,66.974 ± 2.564
0.679 ± 0.023,67.205 ± 3.139
0.693 ± 0.018,69.241 ± 2.850
0.696 ± 0.011,69.001 ± 2.676
0.636 ± 0.008,63.785 ± 2.234
0.650 ± 0.020,64.861 ± 2.353
