0.849 ± 0.052,84.595 ± 6.049
0.834 ± 0.064,83.243 ± 5.771
0.842 ± 0.050,83.243 ± 6.816
0.827 ± 0.078,82.162 ± 7.372
0.815 ± 0.078,79.730 ± 7.074
0.854 ± 0.052,84.595 ± 5.135
0.842 ± 0.055,83.784 ± 6.396
0.841 ± 0.066,84.054 ± 5.192
0.844 ± 0.066,83.784 ± 6.163
0.832 ± 0.061,81.351 ± 7.782
0.832 ± 0.059,81.351 ± 6.778
0.854 ± 0.054,84.324 ± 5.643
0.844 ± 0.049,84.054 ± 6.447
0.841 ± 0.055,82.162 ± 5.695
0.849 ± 0.052,83.784 ± 5.797
0.837 ± 0.056,83.243 ± 6.598
0.824 ± 0.073,80.000 ± 6.531
0.875 ± 0.049,85.676 ± 6.049
0.859 ± 0.057,86.216 ± 6.447
0.863 ± 0.053,84.595 ± 7.257
0.844 ± 0.051,84.324 ± 5.512
0.847 ± 0.051,84.595 ± 5.803
0.837 ± 0.055,84.865 ± 4.712
0.866 ± 0.055,84.595 ± 6.049
0.873 ± 0.053,85.676 ± 5.927
0.849 ± 0.055,84.324 ± 5.643
0.851 ± 0.048,85.676 ± 5.275
0.847 ± 0.051,85.676 ± 6.735
0.849 ± 0.053,83.243 ± 6.019
0.873 ± 0.058,85.946 ± 6.139
0.868 ± 0.059,84.054 ± 6.447
0.859 ± 0.053,84.865 ± 7.068
0.856 ± 0.056,84.595 ± 6.401
0.849 ± 0.048,84.595 ± 6.049
0.829 ± 0.065,84.865 ± 5.432
0.859 ± 0.049,86.486 ± 6.509
0.854 ± 0.061,84.595 ± 6.169
0.854 ± 0.058,84.595 ± 5.927
0.856 ± 0.050,84.324 ± 6.019
0.847 ± 0.054,85.405 ± 5.156
0.837 ± 0.050,84.595 ± 6.169
0.861 ± 0.058,85.135 ± 6.074
0.856 ± 0.060,85.405 ± 5.432
0.863 ± 0.051,85.135 ± 6.310
0.842 ± 0.050,85.135 ± 5.952
0.839 ± 0.049,84.324 ± 5.512
0.839 ± 0.049,83.784 ± 6.509
0.861 ± 0.050,85.135 ± 5.952
0.853 ± 0.053,85.135 ± 4.720
0.861 ± 0.044,84.865 ± 6.419
0.841 ± 0.050,85.676 ± 5.275
0.844 ± 0.060,85.676 ± 5.676
0.839 ± 0.055,84.054 ± 5.192
0.858 ± 0.050,86.216 ± 5.598
0.849 ± 0.058,85.946 ± 5.099
0.844 ± 0.058,86.216 ± 6.670
0.837 ± 0.052,85.405 ± 5.822
0.844 ± 0.053,84.324 ± 5.099
0.847 ± 0.058,84.595 ± 6.049
0.859 ± 0.054,85.405 ± 5.695
0.856 ± 0.054,85.946 ± 5.099
0.846 ± 0.057,85.405 ± 5.695
0.847 ± 0.058,85.135 ± 6.074
0.839 ± 0.057,85.135 ± 5.020
0.839 ± 0.056,84.865 ± 6.419
0.869 ± 0.055,87.838 ± 6.074
0.858 ± 0.052,85.676 ± 4.842
0.859 ± 0.056,85.676 ± 6.626
0.847 ± 0.049,86.216 ± 6.216
0.851 ± 0.053,86.216 ± 5.192
0.841 ± 0.059,84.865 ± 5.695
0.875 ± 0.043,86.216 ± 6.559
0.861 ± 0.046,85.135 ± 4.720
0.846 ± 0.054,85.405 ± 5.695
0.861 ± 0.053,85.676 ± 5.676
0.839 ± 0.055,84.595 ± 4.531
0.841 ± 0.060,83.514 ± 4.902
0.878 ± 0.044,86.216 ± 4.751
0.853 ± 0.046,85.676 ± 5.676
0.851 ± 0.051,84.865 ± 6.642
0.866 ± 0.052,85.135 ± 5.701
0.846 ± 0.052,84.865 ± 5.296
0.842 ± 0.053,84.865 ± 3.860
0.856 ± 0.046,85.135 ± 5.020
0.849 ± 0.058,85.676 ± 5.927
0.844 ± 0.061,84.595 ± 5.412
0.851 ± 0.059,85.405 ± 6.642
0.839 ± 0.054,84.595 ± 5.275
0.837 ± 0.054,84.324 ± 7.027
0.768 ± 0.077,74.054 ± 5.565
0.780 ± 0.079,74.595 ± 5.695
0.771 ± 0.074,74.324 ± 4.400
0.773 ± 0.076,74.595 ± 5.296
0.775 ± 0.078,74.865 ± 5.135
0.768 ± 0.085,74.324 ± 4.563
0.775 ± 0.072,73.514 ± 5.643
0.780 ± 0.076,74.054 ± 5.695
0.786 ± 0.067,75.405 ± 4.595
0.771 ± 0.086,74.324 ± 5.164
0.769 ± 0.078,74.595 ± 4.865
0.773 ± 0.083,74.865 ± 5.135
0.764 ± 0.074,73.784 ± 5.803
