0.810 ± 0.072,79.459 ± 10.055
0.790 ± 0.088,78.378 ± 10.945
0.795 ± 0.077,79.730 ± 11.858
0.790 ± 0.077,78.378 ± 11.719
0.810 ± 0.072,80.270 ± 8.720
0.825 ± 0.067,82.703 ± 8.391
0.825 ± 0.078,81.892 ± 7.357
0.832 ± 0.066,82.432 ± 6.757
0.822 ± 0.076,81.081 ± 10.468
0.820 ± 0.067,80.541 ± 10.523
0.810 ± 0.068,80.811 ± 6.991
0.797 ± 0.073,79.459 ± 7.663
0.810 ± 0.075,81.622 ± 8.180
0.807 ± 0.063,79.730 ± 6.648
0.793 ± 0.069,80.541 ± 8.444
0.798 ± 0.076,79.189 ± 7.553
0.793 ± 0.069,79.730 ± 8.131
0.792 ± 0.086,80.541 ± 8.357
0.792 ± 0.077,80.541 ± 7.815
0.788 ± 0.071,79.730 ± 8.220
0.786 ± 0.072,78.919 ± 8.699
0.786 ± 0.074,77.838 ± 8.357
0.780 ± 0.074,77.027 ± 7.074
0.798 ± 0.086,79.730 ± 12.041
0.807 ± 0.080,79.189 ± 12.329
0.788 ± 0.081,79.459 ± 11.351
0.788 ± 0.078,78.378 ± 11.965
0.764 ± 0.074,76.757 ± 11.978
0.800 ± 0.080,77.297 ± 10.551
0.851 ± 0.064,84.324 ± 8.948
0.832 ± 0.065,81.622 ± 10.592
0.802 ± 0.092,81.892 ± 9.049
0.819 ± 0.074,81.081 ± 9.362
0.825 ± 0.075,82.432 ± 7.668
0.822 ± 0.060,81.892 ± 7.257
0.827 ± 0.077,82.703 ± 10.199
0.819 ± 0.083,82.162 ± 8.036
0.825 ± 0.075,82.703 ± 4.391
0.817 ± 0.064,80.270 ± 10.814
0.815 ± 0.077,81.081 ± 8.108
0.824 ± 0.075,80.270 ± 7.744
0.798 ± 0.095,80.000 ± 9.834
0.805 ± 0.092,81.081 ± 8.632
0.812 ± 0.068,80.270 ± 7.257
0.797 ± 0.085,79.459 ± 7.372
0.822 ± 0.063,81.081 ± 6.163
0.805 ± 0.067,79.189 ± 8.465
0.817 ± 0.083,81.622 ± 9.730
0.824 ± 0.078,81.622 ± 10.592
