0.727 ± 0.010,72.495 ± 1.667
0.732 ± 0.012,72.777 ± 2.010
0.709 ± 0.010,70.905 ± 2.107
0.715 ± 0.009,71.167 ± 1.659
0.717 ± 0.010,71.751 ± 1.966
0.730 ± 0.016,73.139 ± 2.762
0.736 ± 0.013,73.501 ± 2.779
0.739 ± 0.015,74.406 ± 2.372
0.711 ± 0.011,71.288 ± 1.943
0.713 ± 0.011,71.710 ± 2.027
0.719 ± 0.010,71.871 ± 1.815
0.763 ± 0.013,76.519 ± 2.026
0.761 ± 0.012,76.459 ± 2.441
0.767 ± 0.013,76.801 ± 2.570
0.727 ± 0.015,73.018 ± 2.300
0.734 ± 0.013,73.501 ± 2.611
0.738 ± 0.012,73.682 ± 2.299
0.791 ± 0.010,78.571 ± 2.035
0.789 ± 0.014,78.934 ± 2.014
0.790 ± 0.011,79.215 ± 1.855
0.768 ± 0.013,76.620 ± 2.207
0.766 ± 0.014,76.680 ± 2.288
0.766 ± 0.014,76.881 ± 2.157
0.728 ± 0.010,72.254 ± 2.019
0.728 ± 0.009,72.757 ± 2.162
0.731 ± 0.011,72.938 ± 1.982
0.710 ± 0.010,71.529 ± 1.800
0.714 ± 0.012,71.449 ± 2.103
0.720 ± 0.009,71.972 ± 2.089
0.729 ± 0.015,72.897 ± 2.484
0.732 ± 0.014,73.058 ± 2.570
0.733 ± 0.011,73.280 ± 2.123
0.713 ± 0.011,71.388 ± 1.795
0.715 ± 0.010,71.529 ± 1.757
0.719 ± 0.009,72.133 ± 1.976
0.740 ± 0.018,74.266 ± 2.776
0.740 ± 0.016,74.507 ± 2.558
0.749 ± 0.014,74.869 ± 2.655
0.715 ± 0.012,71.771 ± 2.137
0.719 ± 0.011,71.650 ± 1.935
0.723 ± 0.011,72.354 ± 2.563
0.763 ± 0.017,76.237 ± 2.718
0.764 ± 0.011,76.398 ± 2.163
0.769 ± 0.014,76.982 ± 2.659
0.743 ± 0.016,74.628 ± 1.952
0.741 ± 0.017,74.386 ± 2.120
0.745 ± 0.013,74.628 ± 2.517
0.722 ± 0.010,72.193 ± 1.467
0.725 ± 0.009,72.636 ± 2.052
0.730 ± 0.009,72.757 ± 1.610
0.706 ± 0.009,70.563 ± 1.551
0.711 ± 0.010,71.408 ± 2.172
0.712 ± 0.014,71.569 ± 1.851
0.731 ± 0.015,73.199 ± 2.648
0.739 ± 0.016,73.320 ± 2.323
0.736 ± 0.016,73.682 ± 2.030
0.708 ± 0.009,71.127 ± 1.943
0.712 ± 0.009,71.449 ± 1.897
0.716 ± 0.011,71.791 ± 2.077
0.755 ± 0.016,75.433 ± 2.476
0.758 ± 0.018,75.936 ± 2.607
0.761 ± 0.015,76.620 ± 1.952
0.716 ± 0.013,72.133 ± 2.483
0.724 ± 0.010,72.696 ± 2.689
0.733 ± 0.012,73.159 ± 2.032
0.781 ± 0.009,77.948 ± 1.976
0.786 ± 0.012,78.652 ± 1.843
0.786 ± 0.010,78.410 ± 1.824
0.759 ± 0.011,76.278 ± 2.174
0.761 ± 0.010,75.956 ± 2.074
0.762 ± 0.011,76.298 ± 2.178
0.701 ± 0.015,69.718 ± 2.450
0.706 ± 0.011,70.342 ± 1.930
0.716 ± 0.012,71.489 ± 2.315
0.677 ± 0.011,67.686 ± 2.010
0.682 ± 0.011,68.410 ± 2.148
0.689 ± 0.009,68.913 ± 2.074
0.738 ± 0.016,73.622 ± 2.297
0.744 ± 0.015,73.783 ± 2.101
0.750 ± 0.011,74.326 ± 1.964
0.682 ± 0.012,68.169 ± 2.394
0.689 ± 0.012,68.873 ± 2.310
0.700 ± 0.011,69.980 ± 2.191
0.764 ± 0.014,76.338 ± 2.268
0.771 ± 0.011,77.505 ± 2.067
0.777 ± 0.013,76.922 ± 2.353
0.713 ± 0.014,71.469 ± 2.198
0.721 ± 0.014,72.012 ± 2.017
0.728 ± 0.014,72.857 ± 2.395
0.788 ± 0.010,78.249 ± 2.053
0.795 ± 0.011,78.632 ± 1.927
0.800 ± 0.009,79.175 ± 2.031
0.735 ± 0.018,73.823 ± 1.943
0.747 ± 0.015,74.869 ± 2.319
0.753 ± 0.013,75.412 ± 2.384
0.693 ± 0.015,68.913 ± 2.383
0.700 ± 0.012,69.779 ± 2.089
0.711 ± 0.010,70.785 ± 2.315
0.676 ± 0.012,67.646 ± 1.991
0.682 ± 0.011,68.270 ± 2.091
0.689 ± 0.010,68.672 ± 2.180
0.729 ± 0.013,72.696 ± 2.364
0.734 ± 0.014,73.581 ± 2.505
0.739 ± 0.013,73.501 ± 2.393
0.678 ± 0.013,67.787 ± 2.160
0.683 ± 0.014,68.350 ± 1.963
0.693 ± 0.011,69.256 ± 2.350
0.747 ± 0.013,74.789 ± 2.110
0.759 ± 0.012,75.513 ± 1.688
0.762 ± 0.011,76.016 ± 1.950
0.700 ± 0.013,70.221 ± 1.857
0.704 ± 0.012,70.785 ± 2.161
0.715 ± 0.010,71.509 ± 2.296
0.790 ± 0.012,78.270 ± 1.777
0.781 ± 0.023,78.390 ± 2.791
0.780 ± 0.012,77.485 ± 1.653
0.707 ± 0.015,71.006 ± 2.739
0.726 ± 0.013,72.757 ± 2.135
0.737 ± 0.013,73.622 ± 2.090
0.699 ± 0.012,69.235 ± 2.419
0.703 ± 0.011,70.000 ± 2.111
0.716 ± 0.010,70.845 ± 2.277
0.675 ± 0.011,67.565 ± 2.012
0.681 ± 0.009,68.249 ± 2.411
0.692 ± 0.009,68.813 ± 2.248
0.735 ± 0.018,73.340 ± 2.206
0.740 ± 0.013,73.662 ± 1.918
0.744 ± 0.013,74.205 ± 2.104
0.680 ± 0.010,68.169 ± 2.180
0.690 ± 0.010,68.612 ± 2.306
0.697 ± 0.010,69.698 ± 1.881
0.760 ± 0.013,76.439 ± 2.221
0.770 ± 0.013,76.982 ± 2.103
0.777 ± 0.010,77.264 ± 2.350
0.708 ± 0.014,71.026 ± 2.146
0.715 ± 0.011,71.247 ± 1.648
0.724 ± 0.012,72.354 ± 2.099
0.790 ± 0.011,78.612 ± 1.686
0.794 ± 0.009,78.773 ± 1.694
0.799 ± 0.008,79.859 ± 1.720
0.731 ± 0.018,73.642 ± 1.495
0.740 ± 0.017,74.306 ± 2.199
0.752 ± 0.015,75.050 ± 2.002
0.711 ± 0.013,71.147 ± 2.054
0.713 ± 0.009,71.590 ± 2.032
0.724 ± 0.010,72.254 ± 2.214
0.690 ± 0.012,69.155 ± 2.101
0.695 ± 0.010,69.537 ± 1.909
0.699 ± 0.009,69.960 ± 2.087
0.742 ± 0.016,74.588 ± 1.920
0.743 ± 0.013,75.070 ± 1.937
0.749 ± 0.013,74.930 ± 1.831
0.697 ± 0.012,69.598 ± 2.274
0.700 ± 0.009,70.342 ± 2.086
0.707 ± 0.011,70.765 ± 2.477
0.778 ± 0.012,77.586 ± 2.350
0.776 ± 0.015,78.129 ± 2.074
0.783 ± 0.012,77.988 ± 2.243
0.723 ± 0.012,72.777 ± 2.454
0.728 ± 0.012,73.541 ± 2.558
