0.849 ± 0.044,83.514 ± 4.265
0.837 ± 0.042,84.054 ± 4.902
0.844 ± 0.039,82.162 ± 4.222
0.837 ± 0.033,82.432 ± 3.870
0.832 ± 0.043,81.892 ± 4.018
0.853 ± 0.035,84.865 ± 4.391
0.839 ± 0.051,84.595 ± 4.018
0.854 ± 0.044,84.324 ± 3.972
0.842 ± 0.038,82.973 ± 4.531
0.834 ± 0.031,82.703 ± 4.391
0.834 ± 0.040,82.703 ± 3.243
0.842 ± 0.048,84.595 ± 5.545
0.847 ± 0.044,84.865 ± 3.860
0.846 ± 0.036,84.324 ± 3.784
0.837 ± 0.045,83.514 ± 4.751
0.841 ± 0.040,84.324 ± 4.324
0.832 ± 0.053,82.703 ± 3.860
0.866 ± 0.036,85.946 ± 4.954
0.837 ± 0.109,81.081 ± 12.326
0.825 ± 0.107,81.892 ± 12.029
0.861 ± 0.040,85.135 ± 4.563
0.815 ± 0.101,81.622 ± 12.549
0.820 ± 0.104,80.541 ± 12.135
0.871 ± 0.050,85.405 ± 4.222
0.875 ± 0.040,84.324 ± 4.954
0.871 ± 0.042,84.054 ± 5.049
0.859 ± 0.044,83.514 ± 3.907
0.849 ± 0.038,85.135 ± 4.563
0.844 ± 0.035,83.514 ± 4.595
0.864 ± 0.047,84.324 ± 5.512
0.871 ± 0.043,84.595 ± 3.636
0.861 ± 0.045,83.784 ± 4.681
0.853 ± 0.041,84.865 ± 3.860
0.849 ± 0.042,84.865 ± 3.461
0.859 ± 0.039,85.405 ± 3.461
0.878 ± 0.046,85.135 ± 3.676
0.858 ± 0.053,84.595 ± 3.209
0.851 ± 0.060,84.865 ± 3.461
0.849 ± 0.043,85.405 ± 3.860
0.859 ± 0.041,85.135 ± 3.676
0.842 ± 0.049,84.324 ± 3.586
0.805 ± 0.149,78.919 ± 13.448
0.795 ± 0.153,78.919 ± 12.432
0.797 ± 0.147,79.730 ± 12.863
0.766 ± 0.159,75.946 ± 13.375
0.759 ± 0.160,75.405 ± 13.265
0.751 ± 0.156,75.405 ± 13.265
0.873 ± 0.033,84.865 ± 4.045
0.875 ± 0.041,85.676 ± 4.018
0.864 ± 0.039,84.865 ± 4.222
0.858 ± 0.040,84.865 ± 4.391
0.854 ± 0.046,85.135 ± 4.400
0.846 ± 0.038,84.054 ± 4.595
0.868 ± 0.031,84.865 ± 3.666
0.853 ± 0.040,84.595 ± 3.832
0.861 ± 0.041,84.865 ± 4.865
0.853 ± 0.042,85.405 ± 4.222
0.856 ± 0.040,85.135 ± 5.572
0.849 ± 0.043,83.784 ± 4.522
0.871 ± 0.042,84.865 ± 5.013
0.866 ± 0.037,84.324 ± 4.650
0.863 ± 0.042,85.676 ± 4.531
0.863 ± 0.038,84.324 ± 4.954
0.856 ± 0.044,84.054 ± 4.090
0.856 ± 0.043,84.324 ± 5.378
0.846 ± 0.089,82.703 ± 12.159
0.827 ± 0.108,81.351 ± 12.234
0.827 ± 0.106,81.351 ± 12.703
0.829 ± 0.099,81.622 ± 11.065
0.783 ± 0.146,78.649 ± 13.429
0.754 ± 0.156,75.405 ± 13.375
0.873 ± 0.045,84.865 ± 5.822
0.873 ± 0.040,85.405 ± 4.391
0.861 ± 0.039,83.514 ± 2.822
0.868 ± 0.048,84.324 ± 4.324
0.858 ± 0.044,84.595 ± 3.832
0.853 ± 0.039,84.324 ± 4.650
0.869 ± 0.046,84.595 ± 4.531
0.859 ± 0.044,85.405 ± 3.666
0.863 ± 0.046,84.865 ± 5.156
0.853 ± 0.038,85.405 ± 4.391
0.851 ± 0.039,85.135 ± 4.872
0.853 ± 0.042,84.865 ± 4.045
0.873 ± 0.042,84.595 ± 3.832
0.866 ± 0.037,84.865 ± 5.013
0.871 ± 0.042,83.784 ± 4.358
0.864 ± 0.042,85.676 ± 3.832
0.858 ± 0.038,85.405 ± 4.045
0.842 ± 0.048,85.676 ± 4.991
0.797 ± 0.059,76.757 ± 4.865
0.798 ± 0.054,77.027 ± 4.400
0.798 ± 0.058,77.027 ± 5.020
0.795 ± 0.059,75.946 ± 4.265
0.803 ± 0.046,77.027 ± 5.303
0.797 ± 0.058,77.838 ± 4.804
0.795 ± 0.056,77.027 ± 5.164
0.798 ± 0.054,77.297 ± 5.013
0.800 ± 0.060,76.216 ± 5.099
0.795 ± 0.052,77.027 ± 5.020
0.800 ± 0.055,76.757 ± 4.222
0.797 ± 0.063,77.297 ± 5.296
0.797 ± 0.049,75.946 ± 5.598
0.786 ± 0.060,75.405 ± 5.853
0.792 ± 0.059,76.486 ± 4.842
0.797 ± 0.055,76.216 ± 5.241
0.798 ± 0.063,77.027 ± 5.020
0.798 ± 0.057,77.027 ± 5.164
0.778 ± 0.065,75.405 ± 4.433
0.778 ± 0.068,74.595 ± 4.555
0.781 ± 0.065,76.216 ± 6.139
0.797 ± 0.060,76.216 ± 5.241
0.798 ± 0.056,76.486 ± 5.135
0.798 ± 0.065,76.486 ± 4.991
0.798 ± 0.040,78.919 ± 3.784
0.803 ± 0.053,76.757 ± 5.013
0.800 ± 0.055,77.297 ± 4.391
0.807 ± 0.045,76.757 ± 5.156
0.805 ± 0.045,78.108 ± 4.595
0.805 ± 0.047,77.838 ± 3.972
0.807 ± 0.049,77.297 ± 3.666
0.803 ± 0.051,76.757 ± 4.391
0.797 ± 0.055,77.027 ± 3.472
0.803 ± 0.049,76.757 ± 4.222
0.805 ± 0.049,77.297 ± 5.296
0.800 ± 0.050,77.297 ± 5.296
0.808 ± 0.047,77.568 ± 3.636
0.805 ± 0.054,78.108 ± 4.751
0.802 ± 0.066,77.027 ± 4.563
0.805 ± 0.054,77.568 ± 3.832
0.807 ± 0.056,77.838 ± 3.376
0.803 ± 0.056,77.297 ± 4.555
0.795 ± 0.055,76.757 ± 4.555
0.798 ± 0.051,77.027 ± 4.054
0.805 ± 0.051,76.486 ± 5.135
0.803 ± 0.054,78.378 ± 3.419
0.802 ± 0.048,76.486 ± 5.135
0.807 ± 0.059,77.027 ± 5.303
0.793 ± 0.048,77.297 ± 4.712
0.788 ± 0.056,77.027 ± 5.701
0.797 ± 0.059,77.568 ± 4.531
0.795 ± 0.060,75.946 ± 4.902
0.790 ± 0.054,77.297 ± 5.565
0.797 ± 0.062,77.568 ± 4.689
0.793 ± 0.052,75.405 ± 6.991
